From Date,PM2.5,PM10,RH,AT
2020-11-01 00:00:00,27.59,238.28,66.02,26.41
2020-11-01 01:00:00,27.6,225.81,70.14,25.7
2020-11-01 02:00:00,25.8,182.03,72.59,25.2
2020-11-01 03:00:00,21.73,166.97,71.66,24.86
2020-11-01 04:00:00,15.9,128.07,72.84,24.63
2020-11-01 05:00:00,16.35,128.51,73.09,24.63
2020-11-01 06:00:00,16.8,123.3,74.78,24.49
2020-11-01 07:00:00,17.7,141.66,73.78,25.48
2020-11-01 08:00:00,19.94,162.13,59.6,28.97
2020-11-01 09:00:00,22.2,147.17,47.88,31.43
2020-11-01 10:00:00,14.12,96.28,39.88,33.3
2020-11-01 11:00:00,11.85,74.35,34.19,35.1
2020-11-01 12:00:00,10.5,66.38,33.49,36.19
2020-11-01 13:00:00,11.4,73.43,41.4,35.0
2020-11-01 14:00:00,14.99,106.5,41.95,34.8
2020-11-01 15:00:00,12.75,111.7,37.64,34.12
2020-11-01 16:00:00,7.8,93.63,39.67,33.19
2020-11-01 17:00:00,9.15,77.81,47.18,31.32
2020-11-01 18:00:00,12.75,101.5,57.57,29.86
2020-11-01 19:00:00,14.1,110.57,62.28,29.02
2020-11-01 20:00:00,17.7,146.59,67.79,28.63
2020-11-01 21:00:00,21.75,165.26,71.03,28.15
2020-11-01 22:00:00,22.2,142.07,67.37,27.93
2020-11-01 23:00:00,19.05,144.01,78.904,26.878333333333334
2020-11-02 00:00:00,19.95,157.49,78.181,26.480833333333337
2020-11-02 01:00:00,21.75,163.03,79.602,26.027499999999993
2020-11-02 02:00:00,19.06,150.15,81.34200000000001,25.850833333333338
2020-11-02 03:00:00,20.85,148.9,81.495,25.717499999999998
2020-11-02 04:00:00,14.55,109.59,81.68299999999999,25.765833333333333
2020-11-02 05:00:00,17.7,118.23,82.275,25.774166666666662
2020-11-02 06:00:00,18.6,135.16,83.32799999999999,25.734166666666667
2020-11-02 07:00:00,23.1,150.81,83.45899999999999,26.08583333333333
2020-11-02 08:00:00,22.2,165.26,80.732,27.515833333333337
2020-11-02 09:00:00,30.3,219.5,73.715,29.9225
2020-11-02 10:00:00,28.5,212.13,64.845,32.24666666666667
2020-11-02 11:00:00,25.8,198.69,53.354,34.266666666666666
2020-11-02 12:00:00,21.75,168.78,38.39,34.55
2020-11-02 13:00:00,20.4,168.89,38.44,35.04
2020-11-02 14:00:00,22.65,203.83,41.92,35.96
2020-11-02 15:00:00,23.55,177.16,47.19,35.19
2020-11-02 16:00:00,24.0,191.93,50.27,33.5
2020-11-02 17:00:00,24.0,190.71,55.53,31.18
2020-11-02 18:00:00,23.1,187.07,65.36,29.9
2020-11-02 19:00:00,25.35,188.87,74.42,29.61
2020-11-02 20:00:00,25.8,205.92,74.0,29.39
2020-11-02 21:00:00,33.9,278.85,75.88,29.01
2020-11-02 22:00:00,29.86,239.65,75.89,28.72
2020-11-02 23:00:00,31.64,247.93,72.03,28.53
2020-11-03 00:00:00,30.75,246.28,69.54,28.58
2020-11-03 01:00:00,29.85,235.05,68.41,28.23
2020-11-03 02:00:00,29.4,209.06,68.76,27.96
2020-11-03 03:00:00,28.05,195.56,70.43,27.5
2020-11-03 04:00:00,25.35,176.71,73.42,27.0
2020-11-03 05:00:00,23.1,174.12,77.28,26.29
2020-11-03 06:00:00,28.05,188.43,78.59,26.13
2020-11-03 07:00:00,25.8,192.88,72.73,27.03
2020-11-03 08:00:00,25.8,180.01,60.2,29.34
2020-11-03 09:00:00,28.05,193.65,49.13,32.12
2020-11-03 10:00:00,24.9,202.8,42.08,33.67
2020-11-03 11:00:00,31.15,210.8,42.01,34.59
2020-11-03 12:00:00,61.0,203.92,39.92,35.49
2020-11-03 13:00:00,51.0,189.71,43.06,35.7
2020-11-03 14:00:00,56.0,184.5,46.52,35.6
2020-11-03 15:00:00,40.0,166.0,47.32,35.62
2020-11-03 16:00:00,47.0,165.85,52.3,33.83
2020-11-03 17:00:00,45.0,164.94,62.18,31.39
2020-11-03 18:00:00,53.0,179.45,62.19,30.39
2020-11-03 19:00:00,54.99,208.97,64.53,29.7
2020-11-03 20:00:00,52.01,187.25,69.77,28.82
2020-11-03 21:00:00,68.0,230.43,73.13,28.41
2020-11-03 22:00:00,69.0,247.06,72.81,28.31
2020-11-03 23:00:00,71.0,236.37,76.06,27.47
2020-11-04 00:00:00,73.99,254.07,80.25,26.8
2020-11-04 01:00:00,74.0,252.22,79.55,26.65
2020-11-04 02:00:00,64.03,218.22,79.06,26.63
2020-11-04 03:00:00,72.0,217.68,75.36,26.6
2020-11-04 04:00:00,52.0,175.15,76.4,26.42
2020-11-04 05:00:00,50.0,175.12,72.55,26.86
2020-11-04 06:00:00,47.0,152.28,72.88,26.72
2020-11-04 07:00:00,47.0,168.58,68.93,27.16
2020-11-04 08:00:00,52.0,176.8,59.73,29.49
2020-11-04 09:00:00,56.0,188.61,51.82,31.99
2020-11-04 10:00:00,57.99,208.13,44.48,33.36
2020-11-04 11:00:00,48.0,195.05,39.17,34.87
2020-11-04 12:00:00,51.0,170.64,36.23,35.73
2020-11-04 13:00:00,43.0,169.22,42.18,35.74
2020-11-04 14:00:00,61.95,206.76,40.86,35.81
2020-11-04 15:00:00,50.0,176.5,39.31,35.32
2020-11-04 16:00:00,43.02,157.57,41.3,33.81
2020-11-04 17:00:00,47.0,152.87,47.64,31.8
2020-11-04 18:00:00,41.0,165.52,59.32,29.79
2020-11-04 19:00:00,54.0,190.92,61.72,29.64
2020-11-04 20:00:00,74.0,266.2,64.3,29.09
2020-11-04 21:00:00,74.0,253.62,64.77,28.55
2020-11-04 22:00:00,67.0,224.57,67.91,27.69
2020-11-04 23:00:00,66.0,246.09,71.94,27.16
2020-11-05 00:00:00,87.88,268.88,72.64,26.87
2020-11-05 01:00:00,67.0,215.47,74.39,26.31
2020-11-05 02:00:00,60.0,182.03,72.78,26.28
2020-11-05 03:00:00,59.0,168.27,67.85,26.48
2020-11-05 04:00:00,51.0,145.25,66.69,26.58
2020-11-05 05:00:00,46.0,135.18,65.27,26.58
2020-11-05 06:00:00,41.03,124.2,64.38,26.62
2020-11-05 07:00:00,41.0,114.43,61.73,27.11
2020-11-05 08:00:00,41.0,120.97,58.64,28.48
2020-11-05 09:00:00,38.01,134.08,54.85,30.05
2020-11-05 10:00:00,48.0,150.03,47.13,32.51
2020-11-05 11:00:00,60.97,173.77,39.98,34.28
2020-11-05 12:00:00,58.0,155.53,37.21,35.29
2020-11-05 13:00:00,42.0,124.55,35.79,35.53
2020-11-05 14:00:00,53.93,118.2,32.23,35.62
2020-11-05 15:00:00,30.0,108.8,34.78,35.65
2020-11-05 16:00:00,38.0,119.81,36.2,34.57
2020-11-05 17:00:00,38.0,132.45,47.28,32.27
2020-11-05 18:00:00,43.98,165.95,53.6,30.67
2020-11-05 19:00:00,48.0,189.57,52.9,29.95
2020-11-05 20:00:00,46.01,181.4,47.19,29.27
2020-11-05 21:00:00,37.0,146.95,42.41,29.0
2020-11-05 22:00:00,34.0,139.56,50.19,27.73
2020-11-05 23:00:00,55.94,214.54,57.25,26.87
2020-11-06 00:00:00,66.97,255.38,58.39,26.58
2020-11-06 01:00:00,55.03,189.43,53.92,27.05
2020-11-06 02:00:00,34.0,105.07,57.95,26.25
2020-11-06 03:00:00,33.0,106.67,55.1,26.65
2020-11-06 04:00:00,42.0,113.99,54.29,26.54
2020-11-06 05:00:00,39.01,101.36,53.8,26.38
2020-11-06 06:00:00,35.01,107.17,53.25,26.32
2020-11-06 07:00:00,39.98,122.08,53.11,26.63
2020-11-06 08:00:00,39.0,123.67,48.35,28.53
2020-11-06 09:00:00,41.99,135.02,45.22,30.52
2020-11-06 10:00:00,50.0,170.18,41.7,31.44
2020-11-06 11:00:00,42.02,158.05,36.64,33.58
2020-11-06 12:00:00,36.0,132.25,33.72,34.05
2020-11-06 13:00:00,37.0,122.78,33.55,34.47
2020-11-06 14:00:00,34.01,119.78,31.41,35.31
2020-11-06 15:00:00,28.02,116.06,31.28,35.33
2020-11-06 16:00:00,25.0,104.22,34.23,34.19
2020-11-06 17:00:00,28.0,109.53,40.34,32.25
2020-11-06 18:00:00,44.95,144.17,56.9,30.21
2020-11-06 19:00:00,37.02,171.85,57.05,29.02
2020-11-06 20:00:00,45.0,171.98,61.74,28.04
2020-11-06 21:00:00,54.97,196.93,62.79,27.54
2020-11-06 22:00:00,53.01,200.5,67.4,26.85
2020-11-06 23:00:00,69.0,255.1,68.48,26.45
2020-11-07 00:00:00,70.0,244.0,71.37,25.72
2020-11-07 01:00:00,67.01,240.75,70.35,25.42
2020-11-07 02:00:00,55.0,193.37,63.44,25.67
2020-11-07 03:00:00,45.03,120.47,60.79,25.63
2020-11-07 04:00:00,33.03,113.33,59.16,25.6
2020-11-07 05:00:00,36.0,106.95,57.68,25.25
2020-11-07 06:00:00,42.0,131.85,57.17,25.29
2020-11-07 07:00:00,39.01,131.37,56.07,25.48
2020-11-07 08:00:00,44.98,150.37,70.19571428571429,26.3675
2020-11-07 09:00:00,52.0,169.01,60.04,29.902857142857137
2020-11-07 10:00:00,55.99,182.0,53.61,32.38166666666667
2020-11-07 11:00:00,43.0,182.72,46.59166666666667,34.357142857142854
2020-11-07 12:00:00,44.0,190.12,44.85333333333333,35.54571428571428
2020-11-07 13:00:00,44.0,164.24,45.80666666666667,36.33857142857143
2020-11-07 14:00:00,35.0,141.56,37.23,36.09
2020-11-07 15:00:00,37.0,137.44,40.37,35.4
2020-11-07 16:00:00,45.98,157.3,45.95,33.81
2020-11-07 17:00:00,45.0,174.07,57.53,31.64
2020-11-07 18:00:00,52.98,177.82,62.69,30.26
2020-11-07 19:00:00,57.0,216.93,63.7,29.77
2020-11-07 20:00:00,65.0,252.25,65.54,29.04
2020-11-07 21:00:00,59.02,240.21,60.38,28.65
2020-11-07 22:00:00,57.01,210.42,65.59,27.74
2020-11-07 23:00:00,69.97,281.37,70.35,27.13
2020-11-08 00:00:00,78.97,291.5,64.9,27.15
2020-11-08 01:00:00,52.08,194.52,61.58,27.12
2020-11-08 02:00:00,43.02,135.34,58.03,27.19
2020-11-08 03:00:00,36.0,121.87,56.14,27.02
2020-11-08 04:00:00,60.0,214.38,54.11,26.95
2020-11-08 05:00:00,41.05,107.7,52.41,26.66
2020-11-08 06:00:00,29.03,104.36,50.55,26.62
2020-11-08 07:00:00,28.0,109.22,49.5,27.16
2020-11-08 08:00:00,29.0,112.97,47.09,28.71
2020-11-08 09:00:00,36.0,126.42,44.2,30.76
2020-11-08 10:00:00,45.0,144.97,42.43,31.97
2020-11-08 11:00:00,40.02,157.38,41.5,33.29
2020-11-08 12:00:00,37.0,159.45,38.62,34.65
2020-11-08 13:00:00,32.0,127.57,36.93,35.39
2020-11-08 14:00:00,37.98,121.85,35.85,36.13
2020-11-08 15:00:00,39.0,117.97,36.28,36.05
2020-11-08 16:00:00,28.0,95.24,39.38,34.83
2020-11-08 17:00:00,32.0,125.81,46.53,32.74
2020-11-08 18:00:00,59.92,150.35,53.04,30.52
2020-11-08 19:00:00,57.0,170.4,54.8,29.95
2020-11-08 20:00:00,59.0,213.32,57.85,29.23
2020-11-08 21:00:00,64.0,207.67,63.65,28.41
2020-11-08 22:00:00,66.99,237.95,64.4,27.95
2020-11-08 23:00:00,49.0,188.41,64.66,27.54
2020-11-09 00:00:00,49.0,168.22,65.81,27.04
2020-11-09 01:00:00,48.0,170.18,68.12,26.49
2020-11-09 02:00:00,52.97,157.15,63.26,26.58
2020-11-09 03:00:00,40.04,122.65,66.09,26.15
2020-11-09 04:00:00,48.98,129.84,63.01,25.98
2020-11-09 05:00:00,44.0,115.15,60.36,25.91
2020-11-09 06:00:00,42.0,117.6,59.09,25.62
2020-11-09 07:00:00,46.98,126.23,56.01,26.16
2020-11-09 08:00:00,49.99,142.3,49.95,28.43
2020-11-09 09:00:00,45.0,148.67,44.89,30.83
2020-11-09 10:00:00,54.97,183.87,42.15,31.76
2020-11-09 11:00:00,54.0,194.5,39.98,33.28
2020-11-09 12:00:00,53.0,185.83,34.6,34.7
2020-11-09 13:00:00,44.0,155.07,31.7,35.13
2020-11-09 14:00:00,37.02,115.08,31.81,34.98
2020-11-09 15:00:00,27.03,78.62,32.66,35.12
2020-11-09 16:00:00,28.0,75.65,34.94,34.04
2020-11-09 17:00:00,27.0,97.12,40.29,32.05
2020-11-09 18:00:00,33.0,116.34,47.21,30.03
2020-11-09 19:00:00,51.95,188.22,53.47,28.86
2020-11-09 20:00:00,67.95,227.32,62.62,27.98
2020-11-09 21:00:00,73.0,215.75,63.72,27.58
2020-11-09 22:00:00,58.0,176.32,63.94,26.99
2020-11-09 23:00:00,57.0,198.32,59.55,26.99
2020-11-10 00:00:00,39.1,119.4,62.5,26.48
2020-11-10 01:00:00,47.98,161.5,64.36,25.89
2020-11-10 02:00:00,50.0,141.7,66.13,25.4
2020-11-10 03:00:00,56.98,127.53,68.03,24.82
2020-11-10 04:00:00,56.0,158.19,70.94,24.01
2020-11-10 05:00:00,58.0,132.76,66.72,24.03
2020-11-10 06:00:00,34.0,106.79,67.63,23.45
2020-11-10 07:00:00,48.96,144.17,64.09,24.13
2020-11-10 08:00:00,54.0,171.55,53.12,26.84
2020-11-10 09:00:00,61.98,165.7,45.29,28.61
2020-11-10 10:00:00,62.0,160.57,38.34,30.76
2020-11-10 11:00:00,60.0,143.0,32.43,32.25
2020-11-10 12:00:00,69.875,146.755,29.5,33.09
2020-11-10 13:00:00,44.0,194.0,25.15,34.08
