From Date,PM2.5,PM10,RH,AT
2020-11-01 00:00:00,38.97,90.76,67.91,27.19
2020-11-01 01:00:00,46.92,90.76,68.95,26.82
2020-11-01 02:00:00,48.47,90.76,73.46,26.28
2020-11-01 03:00:00,47.38,90.76,78.37,25.75
2020-11-01 04:00:00,50.99,90.76,79.59,25.39
2020-11-01 05:00:00,39.03,90.76,77.36,25.2
2020-11-01 06:00:00,38.26,90.76,77.7,25.05
2020-11-01 07:00:00,54.1,90.76,79.95,25.2
2020-11-01 08:00:00,52.65,90.76,72.38,27.11
2020-11-01 09:00:00,46.21,90.76,60.15,30.23
2020-11-01 10:00:00,41.09,90.76,51.43,32.77
2020-11-01 11:00:00,26.0,90.76,42.77,34.58
2020-11-01 12:00:00,28.01,90.76,46.84,35.36
2020-11-01 13:00:00,21.05,90.76,48.84,34.97
2020-11-01 14:00:00,25.46,90.76,49.05,34.14
2020-11-01 15:00:00,22.66,90.76,52.86,33.52
2020-11-01 16:00:00,19.63,90.76,54.92,32.8
2020-11-01 17:00:00,20.07,90.76,55.82,31.66
2020-11-01 18:00:00,25.7,90.76,61.14,30.57
2020-11-01 19:00:00,24.09,90.76,66.81,29.7
2020-11-01 20:00:00,24.32,90.76,70.19,29.12
2020-11-01 21:00:00,27.74,90.76,71.61,29.0
2020-11-01 22:00:00,31.07,90.76,73.79,28.81
2020-11-01 23:00:00,41.41,90.76,75.44,28.35
2020-11-02 00:00:00,39.33,90.76,73.63,27.91
2020-11-02 01:00:00,39.25,90.76,74.65,27.49
2020-11-02 02:00:00,43.03,90.76,78.27,27.26
2020-11-02 03:00:00,42.77,90.76,79.19,27.12
2020-11-02 04:00:00,38.49,90.76,77.98,27.25
2020-11-02 05:00:00,42.05,90.76,77.72,27.41
2020-11-02 06:00:00,47.82,90.76,78.21,26.97
2020-11-02 07:00:00,46.82,90.76,77.38,27.28
2020-11-02 08:00:00,49.26,90.76,75.31,28.33
2020-11-02 09:00:00,55.9,90.76,68.78,30.19
2020-11-02 10:00:00,52.27,90.76,60.86,32.12
2020-11-02 11:00:00,46.06,90.76,50.29,34.36
2020-11-02 12:00:00,44.49,90.76,43.31,35.76
2020-11-02 13:00:00,46.07,90.76,42.58,36.02
2020-11-02 14:00:00,41.04,90.76,45.91,35.62
2020-11-02 15:00:00,39.22,90.76,57.88,34.91
2020-11-02 16:00:00,39.11,90.76,64.74,33.46
2020-11-02 17:00:00,36.91,90.76,68.84,32.26
2020-11-02 18:00:00,41.42,90.76,76.62,31.17
2020-11-02 19:00:00,35.14,90.76,82.27,30.49
2020-11-02 20:00:00,39.48,90.76,82.77,30.34
2020-11-02 21:00:00,38.04,90.76,85.22,30.25
2020-11-02 22:00:00,43.15,90.76,89.16,29.85
2020-11-02 23:00:00,46.37,90.76,82.33,29.86
2020-11-03 00:00:00,45.14,90.76,69.33,30.0
2020-11-03 01:00:00,59.56,90.76,72.69,29.02
2020-11-03 02:00:00,53.73,90.76,74.88,28.46
2020-11-03 03:00:00,65.41,90.76,75.47,28.41
2020-11-03 04:00:00,55.09,90.76,79.13,27.56
2020-11-03 05:00:00,52.94,90.76,78.81,27.76
2020-11-03 06:00:00,54.42,90.76,78.97,27.71
2020-11-03 07:00:00,54.07,90.76,82.28,27.01
2020-11-03 08:00:00,52.73,90.76,77.85,28.2
2020-11-03 09:00:00,52.62,90.76,62.82,30.87
2020-11-03 10:00:00,54.46,90.76,51.06,33.2
2020-11-03 11:00:00,49.39,90.76,45.89,34.92
2020-11-03 12:00:00,47.8,90.76,44.57,36.02
2020-11-03 13:00:00,46.76,90.76,52.64,35.8
2020-11-03 14:00:00,45.9,90.76,55.47,34.69
2020-11-03 15:00:00,39.37,90.76,55.85,34.24
2020-11-03 16:00:00,30.88,90.76,58.23,33.24
2020-11-03 17:00:00,41.24,90.76,62.97,32.0
2020-11-03 18:00:00,40.0,90.76,71.12,31.24
2020-11-03 19:00:00,34.55,90.76,71.59,30.54
2020-11-03 20:00:00,39.89,90.76,73.6,29.91
2020-11-03 21:00:00,43.71,90.76,75.26,29.38
2020-11-03 22:00:00,50.4,90.76,75.98,28.93
2020-11-03 23:00:00,56.93,90.76,77.9,28.65
2020-11-04 00:00:00,50.78,90.76,79.38,28.21
2020-11-04 01:00:00,64.69,90.76,81.76,27.75
2020-11-04 02:00:00,58.8,90.76,84.25,27.31
2020-11-04 03:00:00,53.56,90.76,80.76,27.34
2020-11-04 04:00:00,49.08,90.76,76.86,27.68
2020-11-04 05:00:00,53.78,90.76,78.9,27.3
2020-11-04 06:00:00,43.15,90.76,78.72,27.08
2020-11-04 07:00:00,54.74,90.76,78.91,26.92
2020-11-04 08:00:00,55.65,90.76,74.0,28.38
2020-11-04 09:00:00,49.53,90.76,64.48,31.02
2020-11-04 10:00:00,46.65,90.76,51.94,33.18
2020-11-04 11:00:00,42.72,90.76,42.93,35.06
2020-11-04 12:00:00,44.67,90.76,39.47,36.26
2020-11-04 13:00:00,47.38,90.76,39.88,36.28
2020-11-04 14:00:00,46.04,90.76,44.47,35.56
2020-11-04 15:00:00,25.85,90.76,43.92,34.97
2020-11-04 16:00:00,33.93,90.76,49.27,33.64
2020-11-04 17:00:00,35.09,90.76,56.39,32.52
2020-11-04 18:00:00,35.32,90.76,62.37,31.45
2020-11-04 19:00:00,32.09,90.76,68.72,30.44
2020-11-04 20:00:00,43.9,90.76,70.12,29.81
2020-11-04 21:00:00,45.27,90.76,68.53,29.38
2020-11-04 22:00:00,51.57,90.76,68.91,28.82
2020-11-04 23:00:00,50.8,90.76,70.14,27.94
2020-11-05 00:00:00,58.76,90.76,74.67,27.31
2020-11-05 01:00:00,65.36,90.76,77.43,26.73
2020-11-05 02:00:00,67.76,90.76,76.84,26.64
2020-11-05 03:00:00,57.6,90.76,72.39,27.24
2020-11-05 04:00:00,54.01,90.76,70.25,27.22
2020-11-05 05:00:00,49.94,90.76,70.45,26.95
2020-11-05 06:00:00,48.13,90.76,71.73,26.81
2020-11-05 07:00:00,52.7,90.76,71.01,27.26
2020-11-05 08:00:00,53.9,90.76,66.13,28.45
2020-11-05 09:00:00,47.91,90.76,59.68,30.38
2020-11-05 10:00:00,62.84,90.76,53.08,32.26
2020-11-05 11:00:00,59.93,90.76,47.41,34.26
2020-11-05 12:00:00,50.64,90.76,41.46,35.84
2020-11-05 13:00:00,47.51,90.76,43.15,36.47
2020-11-05 14:00:00,39.18,90.76,54.22,35.84
2020-11-05 15:00:00,33.59,90.76,58.12,34.3
2020-11-05 16:00:00,30.35,90.76,60.77,33.38
2020-11-05 17:00:00,36.18,90.76,61.08,32.28
2020-11-05 18:00:00,31.95,90.76,58.96,31.14
2020-11-05 19:00:00,23.89,90.76,57.76,30.4
2020-11-05 20:00:00,40.13,90.76,51.38,30.1
2020-11-05 21:00:00,39.55,90.76,50.73,29.14
2020-11-05 22:00:00,34.93,90.76,52.47,28.32
2020-11-05 23:00:00,42.07,90.76,55.86,27.86
2020-11-06 00:00:00,41.6,90.76,59.78,27.07
2020-11-06 01:00:00,44.27,90.76,61.5,26.44
2020-11-06 02:00:00,46.93,90.76,64.16,25.7
2020-11-06 03:00:00,43.55,90.76,68.3,25.01
2020-11-06 04:00:00,43.77,90.76,68.44,25.08
2020-11-06 05:00:00,40.05,90.76,64.14,25.66
2020-11-06 06:00:00,35.06,90.76,60.75,26.06
2020-11-06 07:00:00,38.99,90.76,56.72,27.03
2020-11-06 08:00:00,45.54,90.76,54.11,28.28
2020-11-06 09:00:00,48.52,90.76,50.67,30.2
2020-11-06 10:00:00,44.69,90.76,47.55,32.0
2020-11-06 11:00:00,34.95,90.76,41.37,34.06
2020-11-06 12:00:00,40.95,90.76,35.58,35.26
2020-11-06 13:00:00,34.23,90.76,33.53,36.11
2020-11-06 14:00:00,34.19,90.76,32.83,36.41
2020-11-06 15:00:00,32.28,90.76,32.2,36.41
2020-11-06 16:00:00,36.88,90.76,32.4,35.48
2020-11-06 17:00:00,41.33,90.76,37.06,33.92
2020-11-06 18:00:00,41.7,90.76,48.87,32.0
2020-11-06 19:00:00,21.35,90.76,60.81,30.24
2020-11-06 20:00:00,36.69,90.76,57.6,29.66
2020-11-06 21:00:00,29.45,90.76,62.04,28.64
2020-11-06 22:00:00,38.86,90.76,67.33,27.82
