From Date,PM2.5,PM10,RH,AT
2020-11-01 00:00:00,38.97,74.2,67.91,27.19
2020-11-01 01:00:00,46.92,74.2,68.95,26.82
2020-11-01 02:00:00,48.47,74.2,73.46,26.28
2020-11-01 03:00:00,47.38,74.2,78.37,25.75
2020-11-01 04:00:00,50.99,74.2,79.59,25.39
2020-11-01 05:00:00,39.03,74.2,77.36,25.2
2020-11-01 06:00:00,38.26,74.2,77.7,25.05
2020-11-01 07:00:00,54.1,74.2,79.95,25.2
2020-11-01 08:00:00,52.65,74.2,72.38,27.11
2020-11-01 09:00:00,46.21,74.2,60.15,30.23
2020-11-01 10:00:00,41.09,74.2,51.43,32.77
2020-11-01 11:00:00,26.0,74.2,42.77,34.58
2020-11-01 12:00:00,28.01,74.2,46.84,35.36
2020-11-01 13:00:00,21.05,74.2,48.84,34.97
2020-11-01 14:00:00,25.46,74.2,49.05,34.14
2020-11-01 15:00:00,22.66,74.2,52.86,33.52
2020-11-01 16:00:00,19.63,74.2,54.92,32.8
2020-11-01 17:00:00,20.07,74.2,55.82,31.66
2020-11-01 18:00:00,25.7,74.2,61.14,30.57
2020-11-01 19:00:00,24.09,74.2,66.81,29.7
2020-11-01 20:00:00,24.32,74.2,70.19,29.12
2020-11-01 21:00:00,27.74,74.2,71.61,29.0
2020-11-01 22:00:00,31.07,74.2,73.79,28.81
2020-11-01 23:00:00,41.41,74.2,75.44,28.35
2020-11-02 00:00:00,39.33,74.2,73.63,27.91
2020-11-02 01:00:00,39.25,74.2,74.65,27.49
2020-11-02 02:00:00,43.03,74.2,78.27,27.26
2020-11-02 03:00:00,42.77,74.2,79.19,27.12
2020-11-02 04:00:00,38.49,74.2,77.98,27.25
2020-11-02 05:00:00,42.05,74.2,77.72,27.41
2020-11-02 06:00:00,47.82,74.2,78.21,26.97
2020-11-02 07:00:00,46.82,74.2,77.38,27.28
2020-11-02 08:00:00,49.26,74.2,75.31,28.33
2020-11-02 09:00:00,55.9,74.2,68.78,30.19
2020-11-02 10:00:00,52.27,74.2,60.86,32.12
2020-11-02 11:00:00,46.06,74.2,50.29,34.36
2020-11-02 12:00:00,44.49,74.2,43.31,35.76
2020-11-02 13:00:00,46.07,74.2,42.58,36.02
2020-11-02 14:00:00,41.04,74.2,45.91,35.62
2020-11-02 15:00:00,39.22,74.2,57.88,34.91
2020-11-02 16:00:00,39.11,74.2,64.74,33.46
2020-11-02 17:00:00,36.91,74.2,68.84,32.26
2020-11-02 18:00:00,41.42,74.2,76.62,31.17
2020-11-02 19:00:00,35.14,74.2,82.27,30.49
2020-11-02 20:00:00,39.48,74.2,82.77,30.34
2020-11-02 21:00:00,38.04,74.2,85.22,30.25
2020-11-02 22:00:00,43.15,74.2,89.16,29.85
2020-11-02 23:00:00,46.37,74.2,82.33,29.86
2020-11-03 00:00:00,45.14,74.2,69.33,30.0
2020-11-03 01:00:00,59.56,74.2,72.69,29.02
2020-11-03 02:00:00,53.73,74.2,74.88,28.46
2020-11-03 03:00:00,65.41,74.2,75.47,28.41
2020-11-03 04:00:00,55.09,74.2,79.13,27.56
2020-11-03 05:00:00,52.94,74.2,78.81,27.76
2020-11-03 06:00:00,54.42,74.2,78.97,27.71
2020-11-03 07:00:00,54.07,74.2,82.28,27.01
2020-11-03 08:00:00,52.73,74.2,77.85,28.2
2020-11-03 09:00:00,52.62,74.2,62.82,30.87
2020-11-03 10:00:00,54.46,74.2,51.06,33.2
2020-11-03 11:00:00,49.39,74.2,45.89,34.92
2020-11-03 12:00:00,47.8,74.2,44.57,36.02
2020-11-03 13:00:00,46.76,74.2,52.64,35.8
2020-11-03 14:00:00,45.9,74.2,55.47,34.69
2020-11-03 15:00:00,39.37,74.2,55.85,34.24
2020-11-03 16:00:00,30.88,74.2,58.23,33.24
2020-11-03 17:00:00,41.24,74.2,62.97,32.0
2020-11-03 18:00:00,40.0,74.2,71.12,31.24
2020-11-03 19:00:00,34.55,74.2,71.59,30.54
2020-11-03 20:00:00,39.89,74.2,73.6,29.91
2020-11-03 21:00:00,43.71,74.2,75.26,29.38
2020-11-03 22:00:00,50.4,74.2,75.98,28.93
2020-11-03 23:00:00,56.93,74.2,77.9,28.65
2020-11-04 00:00:00,50.78,74.2,79.38,28.21
2020-11-04 01:00:00,64.69,74.2,81.76,27.75
2020-11-04 02:00:00,58.8,74.2,84.25,27.31
2020-11-04 03:00:00,53.56,74.2,80.76,27.34
2020-11-04 04:00:00,49.08,74.2,76.86,27.68
2020-11-04 05:00:00,53.78,74.2,78.9,27.3
2020-11-04 06:00:00,43.15,74.2,78.72,27.08
2020-11-04 07:00:00,54.74,74.2,78.91,26.92
2020-11-04 08:00:00,55.65,74.2,74.0,28.38
2020-11-04 09:00:00,49.53,74.2,64.48,31.02
2020-11-04 10:00:00,46.65,74.2,51.94,33.18
2020-11-04 11:00:00,42.72,74.2,42.93,35.06
2020-11-04 12:00:00,44.67,74.2,39.47,36.26
2020-11-04 13:00:00,47.38,74.2,39.88,36.28
2020-11-04 14:00:00,46.04,74.2,44.47,35.56
2020-11-04 15:00:00,25.85,74.2,43.92,34.97
2020-11-04 16:00:00,33.93,74.2,49.27,33.64
2020-11-04 17:00:00,35.09,74.2,56.39,32.52
2020-11-04 18:00:00,35.32,74.2,62.37,31.45
2020-11-04 19:00:00,32.09,74.2,68.72,30.44
2020-11-04 20:00:00,43.9,74.2,70.12,29.81
2020-11-04 21:00:00,45.27,74.2,68.53,29.38
2020-11-04 22:00:00,51.57,74.2,68.91,28.82
2020-11-04 23:00:00,50.8,74.2,70.14,27.94
2020-11-05 00:00:00,58.76,74.2,74.67,27.31
2020-11-05 01:00:00,65.36,74.2,77.43,26.73
2020-11-05 02:00:00,67.76,74.2,76.84,26.64
2020-11-05 03:00:00,57.6,74.2,72.39,27.24
2020-11-05 04:00:00,54.01,74.2,70.25,27.22
2020-11-05 05:00:00,49.94,74.2,70.45,26.95
2020-11-05 06:00:00,48.13,74.2,71.73,26.81
2020-11-05 07:00:00,52.7,74.2,71.01,27.26
2020-11-05 08:00:00,53.9,74.2,66.13,28.45
2020-11-05 09:00:00,47.91,74.2,59.68,30.38
