From Date,PM2.5,PM10,RH,AT
2020-11-01 00:00:00,33.0,36.0,90.39,19.73
2020-11-01 01:00:00,44.150000000000006,32.0,91.71,19.19
2020-11-01 02:00:00,44.150000000000006,26.82,92.56,19.13
2020-11-01 03:00:00,44.150000000000006,17.0,92.04,18.81
2020-11-01 04:00:00,44.150000000000006,14.72,92.8,18.57
2020-11-01 05:00:00,44.150000000000006,18.05,94.1,18.85
2020-11-01 06:00:00,44.150000000000006,26.77,92.16,19.0
2020-11-01 07:00:00,44.150000000000006,30.59,90.52,19.75
2020-11-01 08:00:00,44.150000000000006,35.32,86.31,22.54
2020-11-01 09:00:00,44.150000000000006,37.73,70.29,28.66
2020-11-01 10:00:00,44.150000000000006,55.28,51.12,33.52
2020-11-01 11:00:00,44.150000000000006,51.09,37.97,36.42
2020-11-01 12:00:00,44.150000000000006,38.77,34.24,37.03
2020-11-01 13:00:00,44.150000000000006,45.61,38.88,36.78
2020-11-01 14:00:00,47.0,74.64,45.13,35.36
2020-11-01 15:00:00,52.05,85.05,43.34,35.16
2020-11-01 16:00:00,44.150000000000006,64.4,54.43,32.34
2020-11-01 17:00:00,44.150000000000006,54.09,70.98,28.11
2020-11-01 18:00:00,44.150000000000006,47.82,86.97,25.14
2020-11-01 19:00:00,44.150000000000006,62.56,92.22,23.61
2020-11-01 20:00:00,44.150000000000006,58.67,93.0,23.05
2020-11-01 21:00:00,44.150000000000006,46.36,92.06,22.53
2020-11-01 22:00:00,44.150000000000006,44.56,89.85,22.12
2020-11-01 23:00:00,37.0,38.0,88.18,21.93
2020-11-02 00:00:00,35.93,36.22,89.86,21.6
2020-11-02 01:00:00,44.150000000000006,35.73,91.51,21.29
2020-11-02 02:00:00,44.150000000000006,36.0,92.03,21.3
2020-11-02 03:00:00,44.150000000000006,34.22,92.66,21.33
2020-11-02 04:00:00,36.0,38.0,93.02,21.58
2020-11-02 05:00:00,44.150000000000006,34.55,94.17,21.45
2020-11-02 06:00:00,44.150000000000006,37.45,95.06,21.43
2020-11-02 07:00:00,44.150000000000006,39.33,94.95,22.19
2020-11-02 08:00:00,44.150000000000006,86.6,90.29,25.2
2020-11-02 09:00:00,102.0,108.0,78.01,30.2
2020-11-02 10:00:00,81.87,95.91,62.42,33.68
2020-11-02 11:00:00,72.13,88.83,48.57,35.79
2020-11-02 12:00:00,76.89,110.46,45.27,36.07
2020-11-02 13:00:00,95.67,140.93,41.59,37.55
2020-11-02 14:00:00,100.68,151.86,46.33,37.18
2020-11-02 15:00:00,95.11,149.41,50.42,35.8
2020-11-02 16:00:00,98.21,141.22,63.66,32.94
2020-11-02 17:00:00,99.0,139.13,78.32,29.08
2020-11-02 18:00:00,103.19,121.78,86.86,26.32
2020-11-02 19:00:00,100.63,106.91,90.4,24.9
2020-11-02 20:00:00,99.29,101.0,92.55,24.41
2020-11-02 21:00:00,44.150000000000006,86.6,93.2,24.03
2020-11-02 22:00:00,44.150000000000006,86.6,92.58,23.62
2020-11-02 23:00:00,85.0,89.0,93.88,23.12
2020-11-03 00:00:00,85.36,86.6,95.0,22.75
2020-11-03 01:00:00,44.150000000000006,86.6,95.08,22.71
2020-11-03 02:00:00,80.73,80.91,94.32,22.8
2020-11-03 03:00:00,44.150000000000006,86.6,95.16,22.63
2020-11-03 04:00:00,44.150000000000006,86.6,95.93,22.36
2020-11-03 05:00:00,44.150000000000006,86.6,96.65,22.17
2020-11-03 06:00:00,44.150000000000006,86.6,96.94,21.9
2020-11-03 07:00:00,44.150000000000006,86.6,97.2,22.28
2020-11-03 08:00:00,44.150000000000006,86.6,86.12,25.24
2020-11-03 09:00:00,77.0,86.0,56.59,30.18
2020-11-03 10:00:00,77.84,97.23,47.52,32.84
2020-11-03 11:00:00,78.0,103.37,45.31,35.35
2020-11-03 12:00:00,89.78,144.74,41.07,36.51
2020-11-03 13:00:00,85.29,135.5,39.31,37.1
2020-11-03 14:00:00,76.45,126.09,40.94,38.01
2020-11-03 15:00:00,78.36,125.86,48.27,36.6
2020-11-03 16:00:00,75.63,112.22,60.72,33.75
2020-11-03 17:00:00,66.58,97.94,78.89,29.41
2020-11-03 18:00:00,92.68,103.75,88.03,26.59
2020-11-03 19:00:00,94.8,96.34,92.75,24.96
2020-11-03 20:00:00,93.0,86.6,95.0,24.09
2020-11-03 21:00:00,92.27,86.6,95.91,23.52
2020-11-03 22:00:00,44.150000000000006,86.6,95.46,23.16
2020-11-03 23:00:00,86.0,88.0,94.63,22.76
2020-11-04 00:00:00,85.31,86.22,94.96,22.37
2020-11-04 01:00:00,44.150000000000006,86.6,96.15,21.9
2020-11-04 02:00:00,44.150000000000006,86.6,96.37,21.72
2020-11-04 03:00:00,44.150000000000006,86.6,96.52,21.64
2020-11-04 04:00:00,44.150000000000006,86.6,96.97,21.69
2020-11-04 05:00:00,75.0,86.6,96.96,21.94
2020-11-04 06:00:00,65.0,86.6,96.83,22.05
2020-11-04 07:00:00,44.150000000000006,86.6,95.35,22.77
2020-11-04 08:00:00,44.150000000000006,86.6,91.35,24.96
2020-11-04 09:00:00,44.150000000000006,86.6,74.5,29.28
2020-11-04 10:00:00,89.45,100.91,56.68,32.89
2020-11-04 11:00:00,82.97,113.19,42.22,36.53
2020-11-04 12:00:00,80.32,100.36,36.25,38.17
2020-11-04 13:00:00,75.79,103.18,38.27,38.33
2020-11-04 14:00:00,79.21,106.58,41.67,37.98
2020-11-04 15:00:00,81.68,112.17,47.98,37.05
2020-11-04 16:00:00,82.84,120.75,62.43,33.02
2020-11-04 17:00:00,82.16,110.0,76.9,27.83
2020-11-04 18:00:00,82.84,103.11,88.34,25.06
2020-11-04 19:00:00,89.71,95.09,91.53,23.69
2020-11-04 20:00:00,85.97,88.83,93.62,22.81
2020-11-04 21:00:00,44.150000000000006,86.6,95.44,22.27
2020-11-04 22:00:00,44.150000000000006,86.6,95.7,22.05
2020-11-04 23:00:00,44.150000000000006,86.6,95.75,21.51
2020-11-05 00:00:00,44.150000000000006,86.6,96.12,21.04
2020-11-05 01:00:00,44.150000000000006,86.6,96.57,20.71
2020-11-05 02:00:00,44.150000000000006,86.6,96.91,20.54
2020-11-05 03:00:00,76.0,86.6,97.09,20.34
2020-11-05 04:00:00,64.0,86.6,97.33,20.25
2020-11-05 05:00:00,63.0,86.6,97.42,20.21
2020-11-05 06:00:00,44.150000000000006,86.6,97.41,20.33
2020-11-05 07:00:00,44.150000000000006,86.6,95.24,21.28
2020-11-05 08:00:00,44.150000000000006,86.6,89.83,24.06
2020-11-05 09:00:00,44.150000000000006,86.6,71.59,28.98
2020-11-05 10:00:00,79.22,96.86,50.61,32.58
2020-11-05 11:00:00,76.84,98.72,44.41,34.22
2020-11-05 12:00:00,87.07,115.36,43.44,35.61
2020-11-05 13:00:00,90.68,137.0,40.66,36.41
2020-11-05 14:00:00,86.81,145.0,39.04,37.31
2020-11-05 15:00:00,78.42,120.0,43.6,36.94
2020-11-05 16:00:00,67.77,98.47,59.28,32.67
2020-11-05 17:00:00,68.52,84.67,81.22,28.49
2020-11-05 18:00:00,82.42,85.59,89.41,25.5
2020-11-05 19:00:00,44.150000000000006,86.6,92.95,23.77
2020-11-05 20:00:00,44.150000000000006,86.6,94.34,22.57
2020-11-05 21:00:00,44.150000000000006,86.6,94.01,21.4
2020-11-05 22:00:00,44.150000000000006,86.6,94.56,20.54
2020-11-05 23:00:00,44.150000000000006,86.6,94.78,19.96
2020-11-06 00:00:00,56.0,86.6,95.5,19.76
2020-11-06 01:00:00,44.150000000000006,86.6,96.03,19.84
2020-11-06 02:00:00,44.150000000000006,86.6,95.93,20.03
2020-11-06 03:00:00,44.150000000000006,86.6,95.18,20.06
2020-11-06 04:00:00,44.150000000000006,86.6,92.84,19.74
2020-11-06 05:00:00,44.150000000000006,86.6,92.54,19.56
2020-11-06 06:00:00,62.0,64.0,89.43,20.05
2020-11-06 07:00:00,67.87,69.01,82.69,21.83
2020-11-06 08:00:00,69.61,81.03,75.42,24.64
2020-11-06 09:00:00,72.2,79.41,52.79,29.61
2020-11-06 10:00:00,62.9,82.44,43.12,31.9
2020-11-06 11:00:00,68.55,107.19,40.85,34.03
2020-11-06 12:00:00,74.19,125.0,36.36,34.86
2020-11-06 13:00:00,65.77,108.64,32.67,36.24
2020-11-06 14:00:00,55.61,94.81,31.58,36.88
2020-11-06 15:00:00,48.13,85.25,34.44,36.85
2020-11-06 16:00:00,47.0,90.03,48.21,33.74
2020-11-06 17:00:00,48.68,92.72,71.8,28.11
2020-11-06 18:00:00,52.36,74.06,83.79,25.13
2020-11-06 19:00:00,84.88,92.53,90.32,23.15
2020-11-06 20:00:00,86.23,87.34,93.51,22.11
2020-11-06 21:00:00,74.0,86.6,94.98,21.56
2020-11-06 22:00:00,44.150000000000006,86.6,95.7,20.97
2020-11-06 23:00:00,44.150000000000006,86.6,95.97,20.39
2020-11-07 00:00:00,44.150000000000006,86.6,96.05,19.95
2020-11-07 01:00:00,44.150000000000006,86.6,96.06,19.5
2020-11-07 02:00:00,51.0,53.0,95.59,18.89
2020-11-07 03:00:00,51.36,51.67,95.92,18.7
2020-11-07 04:00:00,44.150000000000006,86.6,94.88,18.36
2020-11-07 05:00:00,44.150000000000006,86.6,95.77,17.99
2020-11-07 06:00:00,44.150000000000006,86.6,96.14,18.01
2020-11-07 07:00:00,44.150000000000006,86.6,93.25,19.02
2020-11-07 08:00:00,62.91,57.22,81.31,21.39
2020-11-07 09:00:00,69.19,90.0,83.74,26.73
2020-11-07 10:00:00,63.29,90.0,83.74,26.73
2020-11-07 11:00:00,71.23,111.0,83.74,26.73
2020-11-07 12:00:00,69.64,122.0,83.74,26.73
2020-11-07 13:00:00,74.03,127.0,83.74,26.73
2020-11-07 14:00:00,69.97,116.0,39.18,36.74
2020-11-07 15:00:00,72.37,109.97,40.64,37.01
2020-11-07 16:00:00,72.16,122.78,56.03,33.46
2020-11-07 17:00:00,79.55,253.31,75.07,29.0
2020-11-07 18:00:00,70.97,106.94,86.5,26.18
2020-11-07 19:00:00,74.02,77.84,90.39,24.45
2020-11-07 20:00:00,44.150000000000006,86.6,93.22,23.39
2020-11-07 21:00:00,44.150000000000006,86.6,92.96,22.88
