From Date,PM2.5,PM10,RH,AT
2020-11-01 00:00:00,68.06636363636363,77.77,74.0,26.07
2020-11-01 01:00:00,66.51333333333334,143.0,64.11,26.21
2020-11-01 02:00:00,64.292,63.91,65.55,25.79
2020-11-01 03:00:00,65.69500000000001,66.0,79.22,24.455833333333334
2020-11-01 04:00:00,65.36272727272727,65.0,68.89,25.02
2020-11-01 05:00:00,55.58636363636363,67.23,69.42,24.85
2020-11-01 06:00:00,58.53636363636363,63.0,69.14,24.81
2020-11-01 07:00:00,66.74727272727273,61.0,81.31,24.35
2020-11-01 08:00:00,73.83545454545454,121.0,77.06,25.15
2020-11-01 09:00:00,68.25090909090909,105.16,73.13,26.07
2020-11-01 10:00:00,57.68,106.0,67.53,26.85
2020-11-01 11:00:00,51.13545454545454,79.0,62.01,28.37
2020-11-01 12:00:00,47.551818181818184,66.41,55.23,29.62
2020-11-01 13:00:00,46.93636363636363,54.76,54.7,29.79
2020-11-01 14:00:00,44.67249999999999,46.93,57.0,28.87
2020-11-01 15:00:00,45.07749999999999,40.08,57.66,28.68
2020-11-01 16:00:00,40.559999999999995,38.0,58.1,28.37
2020-11-01 17:00:00,36.57,30.0,56.39,27.8
2020-11-01 18:00:00,40.57090909090909,35.61,63.18,27.25
2020-11-01 19:00:00,44.81545454545455,39.31,66.05,26.82
2020-11-01 20:00:00,54.38454545454545,40.0,68.23,26.67
2020-11-01 21:00:00,64.60363636363637,39.3,70.57,26.7
2020-11-01 22:00:00,64.37090909090908,44.66,72.03,26.43
2020-11-01 23:00:00,61.22666666666668,53.0,71.78,26.34
2020-11-02 00:00:00,59.77333333333333,46.0,70.09,26.25
2020-11-02 01:00:00,61.077,48.91,75.96,25.61
2020-11-02 02:00:00,62.9209090909091,51.0,79.53,25.2
2020-11-02 03:00:00,63.72818181818182,55.0,77.85,24.98
2020-11-02 04:00:00,59.107499999999995,52.0,78.64,25.04
2020-11-02 05:00:00,61.882727272727266,63.2,79.88,25.38
2020-11-02 06:00:00,69.41363636363637,79.66,81.28,24.99
2020-11-02 07:00:00,72.87545454545455,88.47,82.15,24.97
2020-11-02 08:00:00,76.13909090909091,85.0,79.14,25.67
2020-11-02 09:00:00,83.3375,104.67,75.1,27.1
2020-11-02 10:00:00,81.37499999999999,112.75,70.17,27.7
2020-11-02 11:00:00,76.11166666666668,94.0,64.88,28.91
2020-11-02 12:00:00,73.21083333333334,95.0,52.8,30.58
2020-11-02 13:00:00,71.3725,90.34,49.123000000000005,35.74583333333333
2020-11-02 14:00:00,71.11666666666669,81.39,68.14,29.55
2020-11-02 15:00:00,72.13833333333334,75.71,72.18,28.74
2020-11-02 16:00:00,73.79166666666667,63.54,73.66,28.39
2020-11-02 17:00:00,72.97916666666667,61.0,77.16,27.98
2020-11-02 18:00:00,78.5275,64.0,78.89,27.45
2020-11-02 19:00:00,83.64916666666667,220.28666666666666,82.71000000000001,29.395
2020-11-02 20:00:00,95.01272727272728,74.56,84.31,27.04
2020-11-02 21:00:00,96.939,244.33249999999998,85.52699999999999,28.63666666666667
2020-11-02 22:00:00,96.99600000000001,229.65125,85.61100000000002,28.276666666666667
2020-11-02 23:00:00,95.41636363636363,203.79555555555555,81.869,28.082499999999996
2020-11-03 00:00:00,96.10818181818182,98.44,79.26400000000001,27.747500000000006
2020-11-03 01:00:00,91.31333333333333,112.0,80.086,27.33
2020-11-03 02:00:00,94.14909090909092,181.25555555555556,79.75199999999998,27.142500000000002
2020-11-03 03:00:00,89.92999999999999,177.11625,80.814,26.763333333333332
2020-11-03 04:00:00,88.15,170.61125,82.84100000000001,26.334999999999997
2020-11-03 05:00:00,88.03454545454547,138.94,84.35000000000001,26.03833333333333
2020-11-03 06:00:00,87.48818181818181,169.33875,85.20200000000003,25.805000000000003
2020-11-03 07:00:00,85.54636363636364,168.21375,83.99222222222222,26.430909090909093
2020-11-03 08:00:00,89.17727272727272,84.0,74.44200000000001,28.345
2020-11-03 09:00:00,84.45636363636363,83.0,62.69499999999999,31.006666666666664
2020-11-03 10:00:00,82.62454545454547,94.0,52.81700000000001,33.30916666666666
2020-11-03 11:00:00,78.0125,81.5,48.214000000000006,34.791666666666664
2020-11-03 12:00:00,76.06545454545454,85.0,47.761,35.53636363636364
2020-11-03 13:00:00,76.177,167.4025,49.16555555555556,36.004
2020-11-03 14:00:00,73.64363636363638,74.0,50.907000000000004,35.556363636363635
2020-11-03 15:00:00,70.11727272727272,57.28,55.766,35.236666666666665
