From Date,PM2.5,PM10,RH,AT
2020-11-01 00:00:00,44.85,77.77,74.0,26.07
2020-11-01 01:00:00,44.85,143.0,64.11,26.21
2020-11-01 02:00:00,44.85,63.91,65.55,25.79
2020-11-01 03:00:00,44.85,66.0,73.32,25.205
2020-11-01 04:00:00,44.85,65.0,68.89,25.02
2020-11-01 05:00:00,44.85,67.23,69.42,24.85
2020-11-01 06:00:00,44.85,63.0,69.14,24.81
2020-11-01 07:00:00,44.85,61.0,81.31,24.35
2020-11-01 08:00:00,44.85,121.0,77.06,25.15
2020-11-01 09:00:00,44.85,105.16,73.13,26.07
2020-11-01 10:00:00,44.85,106.0,67.53,26.85
2020-11-01 11:00:00,44.85,79.0,62.01,28.37
2020-11-01 12:00:00,44.85,66.41,55.23,29.62
2020-11-01 13:00:00,44.85,54.76,54.7,29.79
2020-11-01 14:00:00,44.85,46.93,57.0,28.87
2020-11-01 15:00:00,44.85,40.08,57.66,28.68
2020-11-01 16:00:00,44.85,38.0,58.1,28.37
2020-11-01 17:00:00,44.85,30.0,56.39,27.8
2020-11-01 18:00:00,44.85,35.61,63.18,27.25
2020-11-01 19:00:00,44.85,39.31,66.05,26.82
2020-11-01 20:00:00,44.85,40.0,68.23,26.67
2020-11-01 21:00:00,44.85,39.3,70.57,26.7
2020-11-01 22:00:00,44.85,44.66,72.03,26.43
2020-11-01 23:00:00,44.85,53.0,71.78,26.34
2020-11-02 00:00:00,44.85,46.0,70.09,26.25
2020-11-02 01:00:00,44.85,48.91,75.96,25.61
2020-11-02 02:00:00,44.85,51.0,79.53,25.2
2020-11-02 03:00:00,44.85,55.0,77.85,24.98
2020-11-02 04:00:00,44.85,52.0,78.64,25.04
2020-11-02 05:00:00,44.85,63.2,79.88,25.38
2020-11-02 06:00:00,44.85,79.66,81.28,24.99
2020-11-02 07:00:00,44.85,88.47,82.15,24.97
2020-11-02 08:00:00,44.85,85.0,79.14,25.67
2020-11-02 09:00:00,44.85,104.67,75.1,27.1
2020-11-02 10:00:00,44.85,112.75,70.17,27.7
2020-11-02 11:00:00,44.85,94.0,64.88,28.91
2020-11-02 12:00:00,44.85,95.0,52.8,30.58
2020-11-02 13:00:00,44.85,90.34,73.32,25.205
2020-11-02 14:00:00,44.85,81.39,68.14,29.55
2020-11-02 15:00:00,44.85,75.71,72.18,28.74
2020-11-02 16:00:00,44.85,63.54,73.66,28.39
2020-11-02 17:00:00,44.85,61.0,77.16,27.98
2020-11-02 18:00:00,44.85,64.0,78.89,27.45
2020-11-02 19:00:00,44.85,71.0,73.32,25.205
2020-11-02 20:00:00,44.85,74.56,84.31,27.04
2020-11-02 21:00:00,44.85,71.0,73.32,25.205
2020-11-02 22:00:00,44.85,71.0,73.32,25.205
2020-11-02 23:00:00,44.85,71.0,73.32,25.205
2020-11-03 00:00:00,44.85,98.44,73.32,25.205
2020-11-03 01:00:00,44.85,112.0,73.32,25.205
