From Date,PM2.5,PM10,RH,AT
2020-11-01 00:00:00,93.06,231.75,,28.43
2020-11-01 01:00:00,86.58,158.33,,27.27
2020-11-01 02:00:00,52.68,96.89,,26.55
2020-11-01 03:00:00,43.48,66.47,,26.44
2020-11-01 04:00:00,35.55,62.18,,26.19
2020-11-01 05:00:00,30.36,48.38,,25.9
2020-11-01 06:00:00,38.4,59.72,,25.85
2020-11-01 07:00:00,39.93,67.36,,25.93
2020-11-01 08:00:00,43.72,88.89,,27.33
2020-11-01 09:00:00,44.0,94.63,,29.2
2020-11-01 10:00:00,33.77,104.96,,31.24
2020-11-01 11:00:00,31.14,105.09,,34.08
2020-11-01 12:00:00,37.49,144.06,,36.71
2020-11-01 13:00:00,51.96,142.0,,38.0
2020-11-01 14:00:00,58.58,156.53,,38.28
2020-11-01 15:00:00,70.13,185.25,,37.53
2020-11-01 16:00:00,71.93,193.45,,36.31
2020-11-01 17:00:00,61.77,177.65,,34.55
2020-11-01 18:00:00,59.14,142.39,,32.87
2020-11-01 19:00:00,74.77,173.41,,31.68
2020-11-01 20:00:00,125.17,345.04,,30.72
2020-11-01 21:00:00,129.93,414.68,,30.52
2020-11-01 22:00:00,142.1,475.41,,30.38
2020-11-01 23:00:00,95.54,250.28,,30.07
2020-11-02 00:00:00,72.52,191.68,,29.57
2020-11-02 01:00:00,79.38,157.93,,29.08
2020-11-02 02:00:00,72.56,125.93,,28.57
2020-11-02 03:00:00,74.79,114.8,,27.86
2020-11-02 04:00:00,65.72,99.47,,27.59
2020-11-02 05:00:00,65.93,79.89,,27.63
2020-11-02 06:00:00,66.0,93.44,,27.55
2020-11-02 07:00:00,64.14,103.17,,27.63
2020-11-02 08:00:00,66.78,132.07,,28.74
2020-11-02 09:00:00,74.42,153.0,,30.36
2020-11-02 10:00:00,73.14,161.18,,32.46
2020-11-02 11:00:00,59.04,166.54,,34.45
2020-11-02 12:00:00,68.2,180.62,,36.47
2020-11-02 13:00:00,67.14,201.07,,37.64
2020-11-02 14:00:00,69.79,189.0,,37.98
2020-11-02 15:00:00,73.72,195.36,,37.1
2020-11-02 16:00:00,78.65,225.16,,36.38
2020-11-02 17:00:00,79.93,208.93,,35.13
2020-11-02 18:00:00,85.57,208.82,,33.09
2020-11-02 19:00:00,121.25,513.29,,31.93
2020-11-02 20:00:00,183.38,676.62,,31.47
2020-11-02 21:00:00,166.6,457.67,,31.13
2020-11-02 22:00:00,160.35,397.64,,30.45
2020-11-02 23:00:00,121.03,244.12,,30.02
2020-11-03 00:00:00,116.14,229.0,,29.23
2020-11-03 01:00:00,92.73,159.97,,28.89
2020-11-03 02:00:00,88.21,131.13,,28.43
2020-11-03 03:00:00,79.62,110.78,,28.1
2020-11-03 04:00:00,69.69,98.1,,27.88
2020-11-03 05:00:00,69.93,98.82,,27.48
2020-11-03 06:00:00,74.67,102.63,,27.28
2020-11-03 07:00:00,71.29,119.35,,27.32
2020-11-03 08:00:00,85.89,183.48,,28.67
2020-11-03 09:00:00,83.29,183.64,,30.73
2020-11-03 10:00:00,79.29,203.95,,32.67
2020-11-03 11:00:00,69.61,187.31,,34.26
2020-11-03 12:00:00,71.088,187.648,,35.0425
2020-11-03 13:00:00,72.566,187.986,,35.825
2020-11-03 14:00:00,74.044,188.324,,36.6075
2020-11-03 15:00:00,75.522,188.662,,37.39
2020-11-03 16:00:00,77.0,189.0,,36.99
2020-11-03 17:00:00,70.5,202.62,,35.13
2020-11-03 18:00:00,87.63,307.87,,33.1
2020-11-03 19:00:00,90.86,281.67,,31.94
2020-11-03 20:00:00,84.5,233.49,,30.91
2020-11-03 21:00:00,125.88,392.09,,30.28
2020-11-03 22:00:00,134.58,435.25,,29.69
2020-11-03 23:00:00,117.32,287.22,,29.18
2020-11-04 00:00:00,116.0,262.92,,28.1
2020-11-04 01:00:00,88.17,145.73,,27.51
2020-11-04 02:00:00,69.3,98.58,,27.23
2020-11-04 03:00:00,65.21,94.09,,27.09
2020-11-04 04:00:00,65.93,98.54,,27.05
2020-11-04 05:00:00,61.35,84.42,,26.96
2020-11-04 06:00:00,56.36,72.1,,26.99
2020-11-04 07:00:00,61.58,110.97,,27.05
2020-11-04 08:00:00,64.79,124.8,,28.3
2020-11-04 09:00:00,67.78,136.08,,30.33
2020-11-04 10:00:00,67.07,173.33,,32.98
2020-11-04 11:00:00,63.29,161.6,,35.04
2020-11-04 12:00:00,63.93,163.63,,37.29
2020-11-04 13:00:00,64.93,173.08,,39.35
2020-11-04 14:00:00,104.08,160.04000000000002,,38.94
2020-11-04 15:00:00,65.25,147.0,,37.57
2020-11-04 16:00:00,56.43,137.92,,36.81
2020-11-04 17:00:00,62.49,191.5,,35.05
2020-11-04 18:00:00,98.36,213.38,,32.85
2020-11-04 19:00:00,108.42,269.5,,31.43
2020-11-04 20:00:00,139.62,363.11,,31.22
2020-11-04 21:00:00,86.17,193.42,,30.63
2020-11-04 22:00:00,91.31,213.0,,29.74
2020-11-04 23:00:00,99.42,217.54,,29.2
2020-11-05 00:00:00,108.35,171.82,,28.3
2020-11-05 01:00:00,90.44,159.71,,27.41
2020-11-05 02:00:00,83.43,109.04,,27.01
2020-11-05 03:00:00,76.5,124.89,,26.57
2020-11-05 04:00:00,64.88,98.22,,26.09
2020-11-05 05:00:00,64.73333333333333,107.01666666666667,,27.02
2020-11-05 06:00:00,64.58666666666666,115.81333333333333,,27.95
2020-11-05 07:00:00,64.44,124.61,,28.880000000000003
2020-11-05 08:00:00,64.29333333333334,133.40666666666667,,29.810000000000002
2020-11-05 09:00:00,64.14666666666666,142.20333333333332,,30.740000000000002
2020-11-05 10:00:00,64.0,151.0,,31.67
2020-11-05 11:00:00,75.13,168.31,,33.62
2020-11-05 12:00:00,62.97,148.98,,36.56
2020-11-05 13:00:00,60.14,135.19,,37.96
2020-11-05 14:00:00,52.56,133.09,,38.66
2020-11-05 15:00:00,55.72,146.67,,37.23
2020-11-05 16:00:00,50.0,167.78,,36.56
2020-11-05 17:00:00,55.57,188.89,,34.75
2020-11-05 18:00:00,68.06,210.0,,32.59
2020-11-05 19:00:00,80.13,236.34,,31.4
2020-11-05 20:00:00,75.43,98.69,,30.8
2020-11-05 21:00:00,73.14,219.43,,29.33
2020-11-05 22:00:00,137.94,344.15,,28.57
2020-11-05 23:00:00,112.38,303.98,,28.3
2020-11-06 00:00:00,97.94,196.36,,27.7
2020-11-06 01:00:00,84.01,151.38,,26.67
2020-11-06 02:00:00,77.43,135.28,,25.96
2020-11-06 03:00:00,65.9,97.67,,26.03
2020-11-06 04:00:00,71.5,115.8,,25.78
2020-11-06 05:00:00,63.62,84.33,,24.93
2020-11-06 06:00:00,61.14,84.63,,24.84
2020-11-06 07:00:00,66.57,100.49,,24.98
2020-11-06 08:00:00,74.42,142.88,,26.29
2020-11-06 09:00:00,65.72,115.21,,28.89
2020-11-06 10:00:00,67.78,140.25,,31.59
2020-11-06 11:00:00,65.22,143.0,,33.63
2020-11-06 12:00:00,49.0,119.0,,36.8
2020-11-06 13:00:00,53.64,122.63,,37.73
2020-11-06 14:00:00,45.65,100.29,,38.08
2020-11-06 15:00:00,43.14,105.27,,36.92
2020-11-06 16:00:00,40.22,115.99,,36.35
2020-11-06 17:00:00,45.57,113.37,,34.61
2020-11-06 18:00:00,59.92,150.35,,32.41
2020-11-06 19:00:00,71.2,190.44,,31.04
2020-11-06 20:00:00,102.62,294.22,,30.21
2020-11-06 21:00:00,85.52,224.07,,29.32
2020-11-06 22:00:00,83.07,205.1,,28.89
2020-11-06 23:00:00,76.48,187.62,,27.68
2020-11-07 00:00:00,79.7,176.01,,27.01
2020-11-07 01:00:00,63.0,171.75916666666666,,25.99
2020-11-07 02:00:00,88.98,167.50833333333333,,24.99
2020-11-07 03:00:00,61.31,163.2575,,24.85
2020-11-07 04:00:00,54.36,159.00666666666666,,24.39
2020-11-07 05:00:00,50.29,154.75583333333333,,24.06
2020-11-07 06:00:00,51.86,150.505,,23.51
2020-11-07 07:00:00,55.7,146.25416666666666,,23.29
2020-11-07 08:00:00,57.86,142.00333333333333,,25.552857142857142
2020-11-07 09:00:00,60.79,137.7525,,27.815714285714286
2020-11-07 10:00:00,55.43,133.50166666666667,,30.07857142857143
2020-11-07 11:00:00,55.0,129.25083333333333,,32.34142857142857
2020-11-07 12:00:00,48.52,125.0,,34.604285714285716
2020-11-07 13:00:00,50.77,109.0,,36.86714285714286
2020-11-07 14:00:00,49.15,96.0,,39.13
2020-11-07 15:00:00,49.93,105.11,,37.37
2020-11-07 16:00:00,51.86,106.91,,36.61
2020-11-07 17:00:00,61.28,132.51,,35.24
2020-11-07 18:00:00,70.38,155.93,,33.76
2020-11-07 19:00:00,68.21,143.47,,32.59
2020-11-07 20:00:00,78.2,183.91,,31.18
2020-11-07 21:00:00,97.53,243.41,,30.27
2020-11-07 22:00:00,110.13,238.98,,29.55
2020-11-07 23:00:00,105.43,206.21,,28.64
2020-11-08 00:00:00,94.8,167.57,,27.56
2020-11-08 01:00:00,70.81,108.42,,26.9
2020-11-08 02:00:00,61.58,91.19,,26.42
2020-11-08 03:00:00,58.22,85.44,,26.24
2020-11-08 04:00:00,58.93,78.62,,25.97
2020-11-08 05:00:00,51.59,74.37,,25.8
2020-11-08 06:00:00,56.58,90.35,,25.49
2020-11-08 07:00:00,53.29,84.71,,25.85
2020-11-08 08:00:00,61.35,102.22,,27.55
2020-11-08 09:00:00,59.22,98.53,,29.93
2020-11-08 10:00:00,54.38,96.0,,33.06
2020-11-08 11:00:00,53.07,117.0,,35.73
2020-11-08 12:00:00,47.43,135.22,,37.56
2020-11-08 13:00:00,50.71,130.64,,38.4
2020-11-08 14:00:00,46.36,99.06,,38.51
2020-11-08 15:00:00,53.42,100.56,,37.24
2020-11-08 16:00:00,47.51,125.53,,36.52
2020-11-08 17:00:00,53.49,135.29,,34.94
2020-11-08 18:00:00,67.92,197.95,,32.91
2020-11-08 19:00:00,88.42,285.09,,31.62
2020-11-08 20:00:00,100.2,277.51,,30.83
2020-11-08 21:00:00,117.65,243.3,,29.6
2020-11-08 22:00:00,93.02,178.95,,29.26
2020-11-08 23:00:00,86.36,153.87,,28.2
2020-11-09 00:00:00,84.14,132.89,,27.48
2020-11-09 01:00:00,79.36,120.07,,26.77
2020-11-09 02:00:00,70.65,89.84,,25.82
2020-11-09 03:00:00,63.5,98.84,,25.18
2020-11-09 04:00:00,63.0,90.89,,25.26
2020-11-09 05:00:00,56.51,78.16,,25.09
2020-11-09 06:00:00,56.93,84.31,,24.95
2020-11-09 07:00:00,69.03,96.84,,25.09
2020-11-09 08:00:00,64.43,102.54,,26.09
2020-11-09 09:00:00,71.42,123.95,,28.81
2020-11-09 10:00:00,68.29,153.33,,32.02
2020-11-09 11:00:00,65.22,156.91,,34.3
2020-11-09 12:00:00,64.07,143.02,,36.15
2020-11-09 13:00:00,51.94,127.25,,37.69
2020-11-09 14:00:00,45.44,98.75,,37.65
2020-11-09 15:00:00,38.51,79.65,,36.4
2020-11-09 16:00:00,37.07,80.73,,35.8
2020-11-09 17:00:00,49.95,108.33,,34.05
2020-11-09 18:00:00,69.56,152.94,,31.97
2020-11-09 19:00:00,122.95,233.07,,30.69
2020-11-09 20:00:00,117.75,238.18,,29.73
2020-11-09 21:00:00,132.77,315.44,,28.89
2020-11-09 22:00:00,128.43,283.82,,28.2
2020-11-09 23:00:00,121.5,256.0,,26.9
2020-11-10 00:00:00,84.0,147.91,,25.92
2020-11-10 01:00:00,73.58,111.49,,25.16
2020-11-10 02:00:00,63.75,91.69,,25.21
2020-11-10 03:00:00,61.15,82.71,,24.53
2020-11-10 04:00:00,58.22,74.71,,24.0
2020-11-10 05:00:00,57.07,74.0,,23.79
2020-11-10 06:00:00,61.64,84.93,,23.32
2020-11-10 07:00:00,62.92,96.02,,23.38
2020-11-10 08:00:00,83.41,113.44,,24.63
2020-11-10 09:00:00,90.57,188.07,,27.43
2020-11-10 10:00:00,78.01,148.39,,30.45
2020-11-10 11:00:00,69.59,137.62,,32.95
2020-11-10 12:00:00,71.78,153.4,,35.05
2020-11-10 13:00:00,66.43,134.05,,36.76
2020-11-10 14:00:00,61.36,114.69,,37.48
2020-11-10 15:00:00,59.14,118.0,,35.97
2020-11-10 16:00:00,55.29,110.0,,35.32
2020-11-10 17:00:00,61.49,170.13,,33.31
2020-11-10 18:00:00,91.69,337.07,,30.91
2020-11-10 19:00:00,101.4,338.38,,29.38
2020-11-10 20:00:00,131.69,413.77,,28.91
2020-11-10 21:00:00,227.7,304.38,,27.96
2020-11-10 22:00:00,134.8,241.98,,26.82
2020-11-10 23:00:00,128.85,216.95,,25.89
2020-11-11 00:00:00,116.05,194.05,,25.21
2020-11-11 01:00:00,88.17,124.58,,24.28
2020-11-11 02:00:00,79.5,117.09,,23.79
2020-11-11 03:00:00,72.53,106.98,,23.49
2020-11-11 04:00:00,76.64,103.27,,23.55
2020-11-11 05:00:00,74.22,98.44,,22.68
2020-11-11 06:00:00,71.22,95.27,,22.11
2020-11-11 07:00:00,81.2,110.47,,22.26
2020-11-11 08:00:00,82.0,125.67,,23.42
2020-11-11 09:00:00,86.64,164.35,,26.79
2020-11-11 10:00:00,80.5,154.33,,30.07
2020-11-11 11:00:00,74.43,162.11,,32.86
2020-11-11 12:00:00,66.58,165.74,,34.61
2020-11-11 13:00:00,66.0,166.0,,36.92
2020-11-11 14:00:00,65.5,166.0,,36.85
2020-11-11 15:00:00,65.0,166.0,,35.42
2020-11-11 16:00:00,65.0,166.0,,34.77
2020-11-11 17:00:00,74.0,165.78842105263158,,32.73
2020-11-11 18:00:00,84.17,165.57684210526315,,30.55
2020-11-11 19:00:00,116.55,165.36526315789473,,28.96
2020-11-11 20:00:00,153.22,165.1536842105263,,27.81
2020-11-11 21:00:00,146.72,164.94210526315788,,27.3
2020-11-11 22:00:00,138.6,164.73052631578946,,26.63
2020-11-11 23:00:00,110.2,164.51894736842104,,26.28
2020-11-12 00:00:00,86.03,164.30736842105262,,25.68
2020-11-12 01:00:00,82.15,164.0957894736842,,24.24
2020-11-12 02:00:00,85.71,163.8842105263158,,23.37
2020-11-12 03:00:00,86.93,163.67263157894737,,23.14
2020-11-12 04:00:00,87.0,163.46105263157895,,22.48
2020-11-12 05:00:00,81.45,163.24947368421053,,22.22
2020-11-12 06:00:00,76.38,163.0378947368421,,21.77
2020-11-12 07:00:00,84.35,162.82631578947368,,21.7
2020-11-12 08:00:00,96.1,162.61473684210526,,23.43
2020-11-12 09:00:00,113.65,162.40315789473684,,26.18
2020-11-12 10:00:00,94.59,162.1915789473684,,29.6
2020-11-12 11:00:00,77.23,161.98,,32.69
2020-11-12 12:00:00,59.35,136.4,,35.28
2020-11-12 13:00:00,53.175,116.7,,36.87
2020-11-12 14:00:00,47.0,97.0,,37.17
2020-11-12 15:00:00,44.22,107.02,,36.0
2020-11-12 16:00:00,38.43,113.47,,35.51
2020-11-12 17:00:00,42.64,140.42,,33.64
2020-11-12 18:00:00,59.65,261.44,,31.34
2020-11-12 19:00:00,81.41,285.75,,30.11
2020-11-12 20:00:00,101.56,250.44,,29.1
2020-11-12 21:00:00,94.67,233.33,,28.19
2020-11-12 22:00:00,175.4,367.75,,27.49
2020-11-12 23:00:00,133.75,277.73,,26.92
2020-11-13 00:00:00,125.38,204.22,,25.5
2020-11-13 01:00:00,85.11,136.95,,24.88
2020-11-13 02:00:00,75.5,106.4,,24.47
2020-11-13 03:00:00,71.29,115.84,,24.35
2020-11-13 04:00:00,74.71,108.0,,23.74
2020-11-13 05:00:00,84.27,120.75,,23.44
2020-11-13 06:00:00,82.22,124.74,,23.6
2020-11-13 07:00:00,92.2,126.83,,23.79
2020-11-13 08:00:00,93.0,140.67,,25.57
2020-11-13 09:00:00,86.53,142.91,,28.18
2020-11-13 10:00:00,77.66,151.2,,31.23
2020-11-13 11:00:00,54.8,122.84,,34.5
2020-11-13 12:00:00,40.05,93.58,,37.06
2020-11-13 13:00:00,40.525,81.78999999999999,,39.33
2020-11-13 14:00:00,41.0,70.0,,39.06
2020-11-13 15:00:00,21.52,54.47,,37.4
2020-11-13 16:00:00,27.4,63.02,,36.89
2020-11-13 17:00:00,24.3,75.84,,35.12
2020-11-13 18:00:00,70.25,300.22,,33.07
2020-11-13 19:00:00,74.92,200.82,,32.34
2020-11-13 20:00:00,77.78,138.74,,31.82
2020-11-13 21:00:00,57.59,103.02,,31.39
2020-11-13 22:00:00,59.71,105.47,,30.01
2020-11-13 23:00:00,104.4,192.56,,29.35
2020-11-14 00:00:00,80.25,142.69,,28.86
2020-11-14 01:00:00,85.4,158.87,,28.02
2020-11-14 02:00:00,89.71,148.2,,27.7
