From Date,PM2.5,PM10,RH,AT
2020-11-01 00:00:00,95.98,170.47,99.9,27.84
2020-11-01 01:00:00,79.39,116.8,99.9,27.58
2020-11-01 02:00:00,83.28,133.57,99.9,26.73
2020-11-01 03:00:00,92.14,138.0,99.9,26.62
2020-11-01 04:00:00,110.22,181.35,99.9,26.05
2020-11-01 05:00:00,100.22,144.8,99.9,26.0
2020-11-01 06:00:00,91.89,146.35,99.9,25.78
2020-11-01 07:00:00,89.0,131.9,99.9,25.99
2020-11-01 08:00:00,85.91,154.5,99.9,29.81
2020-11-01 09:00:00,70.22,114.1,99.9,33.94
2020-11-01 10:00:00,46.63,83.97,98.3,36.73
2020-11-01 11:00:00,37.45,70.65,94.28,38.0
2020-11-01 12:00:00,41.0,81.71,89.17,38.63
2020-11-01 13:00:00,47.39,112.81,81.44,38.87
2020-11-01 14:00:00,52.67,98.52,78.47,39.64
2020-11-01 15:00:00,54.48,100.95,82.77,39.15
2020-11-01 16:00:00,49.67,102.0,94.62,36.86
2020-11-01 17:00:00,49.83,96.07,90.92,34.66
2020-11-01 18:00:00,38.17,82.25,96.58,32.63
2020-11-01 19:00:00,50.45,132.53,99.9,30.9
2020-11-01 20:00:00,88.84,226.72,99.9,30.0
2020-11-01 21:00:00,90.28,224.15,99.9,29.04
2020-11-01 22:00:00,72.17,172.55,99.9,28.62
2020-11-01 23:00:00,55.33,104.69,99.9,28.39
2020-11-02 00:00:00,55.45,111.79,99.9,28.61
2020-11-02 01:00:00,66.72,99.75,99.9,28.14
2020-11-02 02:00:00,69.61,128.35,99.9,27.7
2020-11-02 03:00:00,80.94,125.53,99.9,27.78
2020-11-02 04:00:00,87.11,146.88,99.9,28.01
2020-11-02 05:00:00,94.21,146.76,99.9,27.87
2020-11-02 06:00:00,103.89,140.07,99.9,27.52
2020-11-02 07:00:00,92.5,138.0,99.9,27.98
2020-11-02 08:00:00,87.89,145.62,99.9,30.18
2020-11-02 09:00:00,99.39,181.0,99.9,32.74
2020-11-02 10:00:00,99.11,188.69,99.22,36.59
2020-11-02 11:00:00,88.0,164.43,89.27,38.98
2020-11-02 12:00:00,85.89,153.22,83.92,39.71
2020-11-02 13:00:00,82.17,163.01,82.73,39.84
2020-11-02 14:00:00,81.4,165.85,81.46,39.14
2020-11-02 15:00:00,85.11,164.31,85.88,38.84
2020-11-02 16:00:00,85.61,165.69,95.82,37.93
2020-11-02 17:00:00,82.84,143.9,99.9,35.45
2020-11-02 18:00:00,86.39,147.62,99.9,32.84
2020-11-02 19:00:00,102.34,276.93,99.9,31.57
2020-11-02 20:00:00,138.77,305.95,99.9,30.7
2020-11-02 21:00:00,149.32,312.1,99.9,30.18
2020-11-02 22:00:00,135.28,239.53,99.9,30.04
2020-11-02 23:00:00,116.67,220.07,99.9,30.18
2020-11-03 00:00:00,125.3,207.99,99.9,30.05
2020-11-03 01:00:00,99.39,146.5,99.9,29.44
2020-11-03 02:00:00,96.5,157.0,99.9,29.09
2020-11-03 03:00:00,104.39,159.54,99.9,28.5
2020-11-03 04:00:00,108.83,171.86,99.9,27.96
2020-11-03 05:00:00,107.08,156.21,99.9,27.42
2020-11-03 06:00:00,96.44,152.16,99.9,26.8
2020-11-03 07:00:00,93.33,135.06,99.9,27.26
2020-11-03 08:00:00,87.89,126.92,99.9,30.37
2020-11-03 09:00:00,86.68,148.03,99.9,33.73
2020-11-03 10:00:00,89.03,160.47,96.87,36.94
2020-11-03 11:00:00,81.75,162.85,87.42,39.36
2020-11-03 12:00:00,74.06,152.83,80.27,40.37
2020-11-03 13:00:00,68.66,126.43,67.82,41.1
