From Date,PM2.5,PM10,RH,AT
2020-11-01 00:00:00,81.74,140.0,4.26,28.93
2020-11-01 01:00:00,79.38,140.0,4.26,28.68
2020-11-01 02:00:00,94.65,140.0,4.26,28.24
2020-11-01 03:00:00,103.95,140.0,4.26,27.79
2020-11-01 04:00:00,96.31,140.0,4.26,27.09
2020-11-01 05:00:00,68.83,140.0,4.26,26.71
2020-11-01 06:00:00,79.88,140.0,4.26,26.52
2020-11-01 07:00:00,89.83,140.0,4.26,27.04
2020-11-01 08:00:00,91.0,140.0,4.26,28.99
2020-11-01 09:00:00,76.17,140.0,4.26,31.69
2020-11-01 10:00:00,85.31,140.0,4.26,34.25
2020-11-01 11:00:00,75.66,140.0,4.26,35.18
2020-11-01 12:00:00,80.11,140.0,4.26,36.32
2020-11-01 13:00:00,77.52,140.0,4.26,37.4
2020-11-01 14:00:00,57.87,140.0,4.26,37.47
2020-11-01 15:00:00,52.38,140.0,4.26,36.68
2020-11-01 16:00:00,55.49,140.0,4.26,36.47
2020-11-01 17:00:00,40.35,140.0,4.26,34.6
2020-11-01 18:00:00,40.61,140.0,4.26,33.35
2020-11-01 19:00:00,37.51,140.0,4.26,32.28
2020-11-01 20:00:00,49.21,140.0,4.26,31.2
2020-11-01 21:00:00,63.18,140.0,4.26,30.89
2020-11-01 22:00:00,64.13,140.0,4.26,30.23
2020-11-01 23:00:00,68.35,140.0,4.26,29.65
2020-11-02 00:00:00,58.53,140.0,4.26,29.4
2020-11-02 01:00:00,67.43,140.0,4.26,29.29
2020-11-02 02:00:00,69.0,140.0,4.26,28.93
2020-11-02 03:00:00,66.39,140.0,4.26,28.71
2020-11-02 04:00:00,60.78,140.0,4.26,28.21
2020-11-02 05:00:00,69.56,140.0,4.26,28.43
2020-11-02 06:00:00,84.95,140.0,4.26,28.27
2020-11-02 07:00:00,89.61,140.0,4.26,28.55
2020-11-02 08:00:00,95.23,140.0,4.26,29.79
2020-11-02 09:00:00,114.32,140.0,4.26,31.53
2020-11-02 10:00:00,107.44,140.0,4.26,34.65
2020-11-02 11:00:00,93.79,140.0,4.26,37.21
2020-11-02 12:00:00,78.05,140.0,4.26,37.57
2020-11-02 13:00:00,78.62,168.04,4.26,37.08
2020-11-02 14:00:00,76.38,193.0,4.26,36.99
2020-11-02 15:00:00,79.48,173.68,4.26,36.99
2020-11-02 16:00:00,75.64,155.28,4.26,36.28
2020-11-02 17:00:00,73.25,159.16,4.26,34.65
2020-11-02 18:00:00,88.65,189.03,4.26,33.6
2020-11-02 19:00:00,96.22,215.87,4.26,32.7
2020-11-02 20:00:00,122.3,230.16,4.26,32.11
2020-11-02 21:00:00,116.41,274.95,4.26,31.56
2020-11-02 22:00:00,124.56,317.31,4.26,31.2
2020-11-02 23:00:00,126.0,286.8,4.26,30.99
2020-11-03 00:00:00,115.57,251.42,4.26,30.25
2020-11-03 01:00:00,118.36,252.6,4.26,29.84
2020-11-03 02:00:00,138.19,264.58,4.26,29.48
2020-11-03 03:00:00,120.88,255.62,4.26,29.17
2020-11-03 04:00:00,133.66,249.72,4.26,28.98
2020-11-03 05:00:00,166.53,278.61,4.26,28.63
2020-11-03 06:00:00,150.13,254.08,4.26,28.11
2020-11-03 07:00:00,131.35,223.15,4.26,28.68
2020-11-03 08:00:00,138.56,233.16,4.26,31.03
2020-11-03 09:00:00,119.12,224.61,4.26,33.39
2020-11-03 10:00:00,102.09,189.54,4.26,35.7
2020-11-03 11:00:00,80.81,154.26,4.26,36.59
2020-11-03 12:00:00,68.41,132.99,4.26,37.28
2020-11-03 13:00:00,70.48,134.97,4.26,38.32
2020-11-03 14:00:00,74.48,152.6,4.26,38.33
2020-11-03 15:00:00,82.83,164.15,4.26,38.64
2020-11-03 16:00:00,73.57,170.29,4.26,37.6
2020-11-03 17:00:00,85.91,175.43,4.26,35.08
2020-11-03 18:00:00,82.77,180.86,4.26,33.5
2020-11-03 19:00:00,98.52,214.47,4.26,32.84
2020-11-03 20:00:00,100.13,204.81,4.26,32.04
2020-11-03 21:00:00,95.64,182.29,4.26,30.98
