From Date,PM2.5,PM10,RH,AT
2020-11-01 00:00:00,62.66,103.2,87.03,23.4
2020-11-01 01:00:00,51.91,85.78,87.32,22.74
2020-11-01 02:00:00,42.95,69.28,85.86,22.64
2020-11-01 03:00:00,54.33,84.33,87.48,22.88
2020-11-01 04:00:00,56.0,73.97,90.66,22.25
2020-11-01 05:00:00,37.51,49.55,93.4,22.2
2020-11-01 06:00:00,36.76,45.0,86.77,22.11
2020-11-01 07:00:00,39.64,54.08,87.25,23.3
2020-11-01 08:00:00,66.5,100.7,80.92,25.93
2020-11-01 09:00:00,76.16,108.7,63.16,30.61
2020-11-01 10:00:00,55.8,98.1,50.79,34.57
2020-11-01 11:00:00,58.3,101.78,44.72,36.35
2020-11-01 12:00:00,57.24,94.75,41.44,37.3
2020-11-01 13:00:00,45.52,93.0,42.67,35.92
2020-11-01 14:00:00,50.16,110.33,47.99,36.12
2020-11-01 15:00:00,56.3,110.7,48.74,35.6
2020-11-01 16:00:00,46.43,85.0,50.92,34.11
2020-11-01 17:00:00,37.08,69.33,60.8,29.85
2020-11-01 18:00:00,40.4,63.52,70.25,26.52
2020-11-01 19:00:00,33.95,54.75,73.0,25.49
2020-11-01 20:00:00,27.73,47.23,82.81,24.97
2020-11-01 21:00:00,41.09,57.55,84.4,24.92
2020-11-01 22:00:00,46.52,68.25,87.17,24.63
2020-11-01 23:00:00,44.36,66.7,90.18,24.16
2020-11-02 00:00:00,51.9,79.2,90.68,24.05
2020-11-02 01:00:00,41.52,58.03,85.72,23.64
2020-11-02 02:00:00,34.7,51.35,90.43,23.75
2020-11-02 03:00:00,41.04,54.31,91.28,23.87
2020-11-02 04:00:00,36.72,50.05,87.38,24.24
2020-11-02 05:00:00,53.61,75.49,92.3,23.98
2020-11-02 06:00:00,76.24,104.92,90.6,24.62
2020-11-02 07:00:00,83.4,123.2,86.72,25.87
2020-11-02 08:00:00,85.76,120.22,82.87,27.39
2020-11-02 09:00:00,78.1,119.83,73.39,31.23
2020-11-02 10:00:00,87.57,146.4,60.09,33.98
2020-11-02 11:00:00,89.88,158.0,51.5,35.77
2020-11-02 12:00:00,90.0,161.0,48.91,36.31
2020-11-02 13:00:00,89.12,159.35,48.3,36.94
2020-11-02 14:00:00,88.12,155.69,48.08,37.05
2020-11-02 15:00:00,83.58,157.47,54.65,36.17
2020-11-02 16:00:00,84.76,150.57,63.08,33.25
2020-11-02 17:00:00,85.0,140.75,73.81,29.34
2020-11-02 18:00:00,91.16,157.15,81.43,27.26
2020-11-02 19:00:00,87.6,137.82,85.6,26.54
2020-11-02 20:00:00,79.93,118.15,88.72,26.05
2020-11-02 21:00:00,88.72,128.2,92.78,25.87
2020-11-02 22:00:00,90.0,120.25,90.36,25.8
2020-11-02 23:00:00,99.68,151.0,86.08,25.98
2020-11-03 00:00:00,108.02,173.62,85.84,25.81
2020-11-03 01:00:00,101.08,159.68,86.18,25.6
2020-11-03 02:00:00,98.24,154.35,84.84,25.97
2020-11-03 03:00:00,103.28,152.35,85.12,25.66
2020-11-03 04:00:00,93.43,138.75,87.12,25.25
2020-11-03 05:00:00,81.4,114.0,87.53,25.49
2020-11-03 06:00:00,81.76,115.65,88.96,25.07
2020-11-03 07:00:00,84.64,120.12,82.99,25.77
2020-11-03 08:00:00,90.3,141.56,74.52,27.35
2020-11-03 09:00:00,91.0,140.22,61.97,30.93
2020-11-03 10:00:00,96.28,154.68,52.56,33.9
2020-11-03 11:00:00,94.36,176.97,45.63,35.8
2020-11-03 12:00:00,83.43,164.1,43.39,36.95
2020-11-03 13:00:00,80.25,159.12,43.22,37.48
2020-11-03 14:00:00,74.72,143.56,44.49,37.65
2020-11-03 15:00:00,74.88,128.0,51.75,36.8
2020-11-03 16:00:00,75.88,131.31,59.86,34.68
2020-11-03 17:00:00,74.24,125.4,75.47,30.13
2020-11-03 18:00:00,64.31,109.2,83.53,27.32
