From Date,PM2.5,PM10,RH,AT
2020-11-01 00:00:00,81.67,249.73,65.2,26.51
2020-11-01 01:00:00,77.84,214.0,67.56,25.9
2020-11-01 02:00:00,77.16,203.0,71.13,25.05
2020-11-01 03:00:00,70.29,181.4,75.44,24.24
2020-11-01 04:00:00,63.95,180.87,79.28,23.82
2020-11-01 05:00:00,79.83,235.07,81.24,23.49
2020-11-01 06:00:00,100.64,262.8,82.47,23.17
2020-11-01 07:00:00,106.53,279.93,76.13,24.85
2020-11-01 08:00:00,100.27,235.87,64.56,27.63
2020-11-01 09:00:00,72.07,177.09,54.21,30.3
2020-11-01 10:00:00,52.74,139.27,44.46,32.52
2020-11-01 11:00:00,51.68,127.33,38.4,33.89
2020-11-01 12:00:00,39.38,104.73,39.17,34.21
2020-11-01 13:00:00,45.39,124.13,44.97,32.54
2020-11-01 14:00:00,43.63,122.96,49.86,32.09
2020-11-01 15:00:00,42.16,115.33,45.37,32.31
2020-11-01 16:00:00,36.97,94.93,43.58,31.68
2020-11-01 17:00:00,31.79,93.13,50.2,30.65
2020-11-01 18:00:00,34.37,107.47,61.34,29.37
2020-11-01 19:00:00,40.89,126.61,66.17,28.34
2020-11-01 20:00:00,57.15,176.73,70.8,27.64
2020-11-01 21:00:00,60.84,204.73,74.47,27.09
2020-11-01 22:00:00,93.83,276.47,71.56,27.69
2020-11-01 23:00:00,71.38,212.6,69.39,27.08
2020-11-02 00:00:00,76.07,204.93,71.27,26.21
2020-11-02 01:00:00,73.81,211.8,75.04,25.55
2020-11-02 02:00:00,75.52,224.99,78.35,25.53
2020-11-02 03:00:00,74.32,219.0,79.41,25.35
2020-11-02 04:00:00,84.08,224.5,77.4,25.88
2020-11-02 05:00:00,75.09,190.6,77.2,25.81
2020-11-02 06:00:00,78.03,191.72,77.78,25.97
2020-11-02 07:00:00,76.48,197.0,78.62,26.05
2020-11-02 08:00:00,80.21,203.6,76.23,27.19
2020-11-02 09:00:00,73.45,195.0,68.24,29.51
2020-11-02 10:00:00,74.53,199.8,56.93,31.92
2020-11-02 11:00:00,72.47,185.4,44.95,33.15
2020-11-02 12:00:00,73.68,170.93,42.38,33.84
2020-11-02 13:00:00,74.0,189.27,39.51,34.46
2020-11-02 14:00:00,65.58,160.47,40.24,34.95
2020-11-02 15:00:00,67.36,163.87,54.41,32.93
2020-11-02 16:00:00,70.53,175.84,60.88,31.75
2020-11-02 17:00:00,72.68,186.77,62.27,31.3
2020-11-02 18:00:00,78.87,209.8,72.23,30.03
2020-11-02 19:00:00,85.89,226.53,77.61,29.48
2020-11-02 20:00:00,81.97,213.13,78.63,29.34
2020-11-02 21:00:00,76.81,197.47,79.9,28.97
2020-11-02 22:00:00,83.58,216.0,78.65,28.59
2020-11-02 23:00:00,98.42,269.47,71.54,28.32
2020-11-03 00:00:00,109.36,286.0,71.73,27.94
2020-11-03 01:00:00,114.36,288.93,73.6,27.16
2020-11-03 02:00:00,102.38,252.01,72.67,27.23
2020-11-03 03:00:00,87.42,210.87,75.99,26.56
2020-11-03 04:00:00,84.16,213.42,79.91,25.96
2020-11-03 05:00:00,94.07,236.33,82.54,25.5
2020-11-03 06:00:00,87.58,221.08,81.84,25.76
2020-11-03 07:00:00,84.32,216.65,78.81,26.33
2020-11-03 08:00:00,84.0,207.77,68.59,28.36
2020-11-03 09:00:00,84.84,206.19,57.98,30.69
2020-11-03 10:00:00,80.81,212.87,48.5,32.09
2020-11-03 11:00:00,76.64,185.78,42.51,33.32
2020-11-03 12:00:00,69.29,171.33,39.51,34.83
