From Date,PM2.5,PM10,RH,AT
2020-11-01 00:00:00,68.06636363636363,158.2511111111111,74.97999999999999,25.74416666666667
2020-11-01 01:00:00,66.51333333333334,142.00222222222223,75.625,25.194999999999997
2020-11-01 02:00:00,64.292,114.9088888888889,77.43900000000001,24.700833333333335
2020-11-01 03:00:00,65.69500000000001,107.02444444444444,70.99,26.27
2020-11-01 04:00:00,83.69,103.43333333333334,70.18,26.47
2020-11-01 05:00:00,54.82,100.66666666666667,68.13,26.25
2020-11-01 06:00:00,60.98,104.88222222222221,66.61,25.98
2020-11-01 07:00:00,86.22,110.5,68.84,26.7
2020-11-01 08:00:00,94.0,134.03222222222223,67.35,28.62
2020-11-01 09:00:00,72.48,127.75444444444445,56.26,31.6
2020-11-01 10:00:00,66.0,114.58666666666669,47.38,34.01
2020-11-01 11:00:00,71.51,102.29777777777778,41.3,35.29
2020-11-01 12:00:00,65.05,97.16555555555556,46.94,34.86
2020-11-01 13:00:00,58.23,99.21555555555555,54.95,33.99
2020-11-01 14:00:00,47.32,102.49888888888889,47.63,34.65
2020-11-01 15:00:00,38.86,106.57555555555557,47.94,34.71
2020-11-01 16:00:00,36.31,94.54555555555555,54.53,34.0
2020-11-01 17:00:00,38.08,85.67555555555555,61.64,32.64
2020-11-01 18:00:00,55.53,88.66333333333334,74.26,30.87
2020-11-01 19:00:00,71.95,100.56333333333333,78.64,30.14
2020-11-01 20:00:00,69.78,136.67222222222222,76.27,30.23
2020-11-01 21:00:00,80.73,150.59222222222223,74.37,29.9
2020-11-01 22:00:00,90.45,160.39444444444447,82.07,28.83
2020-11-01 23:00:00,95.84,125.33111111111111,76.49,28.85
2020-11-02 00:00:00,96.72,121.56222222222222,75.21,28.05
2020-11-02 01:00:00,79.4,117.04000000000002,72.07,27.84
2020-11-02 02:00:00,87.84,116.22444444444447,72.88,27.63
2020-11-02 03:00:00,79.78,113.56555555555556,73.14,27.43
2020-11-02 04:00:00,83.73,106.23,75.46,27.41
2020-11-02 05:00:00,63.9,105.61,75.25,27.55
2020-11-02 06:00:00,72.09,114.88777777777779,76.74,27.7
2020-11-02 07:00:00,70.36,125.33666666666666,79.78,27.8
2020-11-02 08:00:00,76.68,146.93,77.07,28.79
2020-11-02 09:00:00,85.86,159.9588888888889,69.84,30.95
2020-11-02 10:00:00,80.42,169.45333333333335,58.95,33.67
2020-11-02 11:00:00,80.46,159.3422222222222,48.07,35.5
2020-11-02 12:00:00,70.24,152.383,42.13,36.13
2020-11-02 13:00:00,61.55,161.529,41.7,36.5
2020-11-02 14:00:00,64.84,163.398,42.63,36.85
2020-11-02 15:00:00,69.75,157.689,48.62,36.11
2020-11-02 16:00:00,71.69,160.34300000000002,52.23,35.34
2020-11-02 17:00:00,67.87,154.582,59.23,34.08
2020-11-02 18:00:00,81.84,160.24099999999999,66.08,32.4
2020-11-02 19:00:00,89.0,220.28666666666666,75.03,31.27
2020-11-02 20:00:00,95.01272727272728,222.95099999999996,78.47,30.63
2020-11-02 21:00:00,96.939,244.33249999999998,78.69,30.22
2020-11-02 22:00:00,96.99600000000001,229.65125,80.66,29.62
2020-11-02 23:00:00,95.41636363636363,203.79555555555555,78.47,29.42
2020-11-03 00:00:00,96.10818181818182,206.49888888888887,80.7,28.73
2020-11-03 01:00:00,91.31333333333333,191.91555555555553,80.7,28.65
2020-11-03 02:00:00,94.14909090909092,181.25555555555556,82.46,28.27
2020-11-03 03:00:00,89.92999999999999,177.11625,79.97,28.41
2020-11-03 04:00:00,92.34,170.61125,80.15,28.24
2020-11-03 05:00:00,90.31,166.86666666666667,79.13,28.24
2020-11-03 06:00:00,92.08,169.33875,78.34,28.54
2020-11-03 07:00:00,89.54,168.21375,78.2,29.02
2020-11-03 08:00:00,93.66,171.0866666666667,72.44,30.0
2020-11-03 09:00:00,84.45636363636363,167.153,66.05,31.57
2020-11-03 10:00:00,82.62454545454547,172.429,47.78,34.49
2020-11-03 11:00:00,82.66,165.645,39.16,35.96
2020-11-03 12:00:00,66.93,189.775,37.14,36.4
2020-11-03 13:00:00,57.17,167.4025,36.14,36.85
2020-11-03 14:00:00,58.45,164.019,37.37,37.43
2020-11-03 15:00:00,58.62,149.92555555555558,53.66,36.03
2020-11-03 16:00:00,61.45,153.496,57.61,34.8
2020-11-03 17:00:00,71.27,153.55700000000002,71.8,32.88
2020-11-03 18:00:00,83.27,166.93800000000002,76.55,31.47
2020-11-03 19:00:00,80.8,172.092,81.39,30.75
2020-11-03 20:00:00,90.45,177.47777777777776,80.06,30.38
2020-11-03 21:00:00,98.07,224.92374999999998,80.23,29.97
2020-11-03 22:00:00,95.56,234.10333333333332,81.62,29.47
2020-11-03 23:00:00,94.0,207.683,82.01,29.36
2020-11-04 00:00:00,97.25,209.28900000000004,83.28,29.21
2020-11-04 01:00:00,95.75625,211.18111111111114,80.71,28.77
2020-11-04 02:00:00,90.05444444444443,182.45666666666668,80.8,28.51
2020-11-04 03:00:00,85.14,172.35125000000002,80.22,28.31
2020-11-04 04:00:00,88.98,158.56625,79.39,28.34
2020-11-04 05:00:00,88.38,145.38875000000002,78.98,28.43
2020-11-04 06:00:00,92.45,141.41375,81.09,27.99
2020-11-04 07:00:00,98.15,156.94,78.57,28.66
2020-11-04 08:00:00,98.62,164.69555555555553,70.4,30.49
2020-11-04 09:00:00,82.78,165.86555555555555,58.61,32.5
2020-11-04 10:00:00,76.69,164.417,43.23,34.85
2020-11-04 11:00:00,68.01,154.54899999999998,38.68,35.62
2020-11-04 12:00:00,62.62,143.265,37.69,36.13
2020-11-04 13:00:00,62.0,143.445,45.02,35.97
2020-11-04 14:00:00,63.38,158.25555555555556,44.38,36.31
2020-11-04 15:00:00,61.93,156.687,43.01,36.7
2020-11-04 16:00:00,64.44,143.61599999999999,46.97,35.73
2020-11-04 17:00:00,72.2,151.5218181818182,63.08,33.59
2020-11-04 18:00:00,79.15,141.151,73.63,31.65
2020-11-04 19:00:00,94.14,172.48545454545453,69.92,30.86
2020-11-04 20:00:00,96.54,206.42000000000004,65.58,31.03
2020-11-04 21:00:00,95.69,215.783,64.99,30.7
2020-11-04 22:00:00,93.23,215.404,65.38,30.07
2020-11-04 23:00:00,92.69,220.73000000000002,69.36,29.49
2020-11-05 00:00:00,93.0,220.084,73.89,28.99
2020-11-05 01:00:00,91.90000000000002,196.51799999999997,74.47,28.45
2020-11-05 02:00:00,88.38,172.191,77.57,27.61
2020-11-05 03:00:00,81.44000000000001,152.27299999999997,85.78,26.08
2020-11-05 04:00:00,81.65999999999998,148.364,78.26,27.34
2020-11-05 05:00:00,94.2,139.5522222222222,77.96,26.86
2020-11-05 06:00:00,91.31,126.9511111111111,77.64,26.58
2020-11-05 07:00:00,91.0,130.6588888888889,75.64,27.06
2020-11-05 08:00:00,75.13111111111112,139.5022222222222,66.32,29.78
2020-11-05 09:00:00,71.41333333333334,145.23666666666668,55.82,32.51
2020-11-05 10:00:00,98.0,146.14181818181817,47.35,34.88
2020-11-05 11:00:00,79.4,160.14600000000002,39.1,36.07
2020-11-05 12:00:00,59.93,149.48090909090908,34.23,36.59
2020-11-05 13:00:00,54.31,142.40272727272725,31.98,37.02
2020-11-05 14:00:00,52.62,128.05181818181816,30.94,37.19
2020-11-05 15:00:00,50.62,118.90818181818182,35.35,36.81
2020-11-05 16:00:00,50.0,115.83600000000001,45.12,35.83
2020-11-05 17:00:00,49.31,118.39444444444445,53.9,33.85
2020-11-05 18:00:00,51.76,142.61200000000002,52.44,31.78
2020-11-05 19:00:00,59.87,162.79,45.94,31.57
2020-11-05 20:00:00,54.7,163.31333333333336,43.81,31.33
2020-11-05 21:00:00,50.31,170.29222222222222,47.69,30.17
2020-11-05 22:00:00,57.58,191.82888888888888,45.14,30.48
2020-11-05 23:00:00,52.76,200.90666666666664,47.71,30.1
2020-11-06 00:00:00,51.08,173.8311111111111,55.95,29.08
2020-11-06 01:00:00,56.82,150.83666666666667,61.32,28.17
2020-11-06 02:00:00,56.93,130.54,52.83,29.34
2020-11-06 03:00:00,50.47,129.33444444444444,47.94,30.04
2020-11-06 04:00:00,43.18,128.11666666666667,49.81,29.5
2020-11-06 05:00:00,43.07,109.69777777777777,50.34,29.1
2020-11-06 06:00:00,50.89,103.117,55.53,28.37
2020-11-06 07:00:00,63.64,119.674,57.64,28.7
2020-11-06 08:00:00,67.31,134.528,52.13,31.23
2020-11-06 09:00:00,74.58,134.082,44.81,33.89
2020-11-06 10:00:00,73.87,143.231,36.5,35.18
2020-11-06 11:00:00,54.09,140.94555555555553,33.25,35.74
2020-11-06 12:00:00,48.76,133.5222222222222,33.55,35.7
2020-11-06 13:00:00,47.24,126.513,35.05,36.07
2020-11-06 14:00:00,46.0,115.36500000000001,32.83,36.43
2020-11-06 15:00:00,46.69,97.48100000000001,33.07,36.67
2020-11-06 16:00:00,43.55,98.799,33.93,36.11
2020-11-06 17:00:00,40.62,104.26200000000001,61.96,32.54
2020-11-06 18:00:00,44.15,117.675,67.39,30.79
2020-11-06 19:00:00,51.53,133.607,70.57,29.79
2020-11-06 20:00:00,52.62,159.815,66.74,29.51
2020-11-06 21:00:00,58.89,175.65777777777777,61.98,29.92
2020-11-06 22:00:00,58.55,182.3422222222222,58.55,30.06
2020-11-06 23:00:00,54.92,204.32222222222222,59.5,29.64
2020-11-07 00:00:00,46.42,190.49222222222227,60.31,29.51
2020-11-07 01:00:00,59.47,179.135,60.37,29.05
2020-11-07 02:00:00,67.0,143.38222222222223,65.74,27.85
2020-11-07 03:00:00,65.48272727272727,123.2588888888889,67.0,27.27
2020-11-07 04:00:00,91.0,128.62625,68.02,27.03
2020-11-07 05:00:00,91.0,125.40625,68.85,26.53
2020-11-07 06:00:00,63.577999999999996,131.3825,73.27,25.77
2020-11-07 07:00:00,84.0,138.125,69.73,26.27
2020-11-07 08:00:00,84.0,143.78142857142856,61.61,28.52
2020-11-07 09:00:00,65.98666666666665,147.35857142857142,51.97,31.04
2020-11-07 10:00:00,64.38,154.29333333333332,38.84,33.4
2020-11-07 11:00:00,52.11,145.05285714285714,34.49,34.8
2020-11-07 12:00:00,48.31,143.15857142857143,34.89,35.3
2020-11-07 13:00:00,46.62,130.10875,37.3,36.14
2020-11-07 14:00:00,45.31,122.42363636363638,37.95,36.45
2020-11-07 15:00:00,49.13,119.67909090909092,37.49,37.43
2020-11-07 16:00:00,52.38,137.89999999999998,47.24,35.76
2020-11-07 17:00:00,55.08,153.18636363636364,63.47,32.95
2020-11-07 18:00:00,63.58,153.25090909090912,69.1,31.13
2020-11-07 19:00:00,66.31,139.41363636363633,68.52,30.8
2020-11-07 20:00:00,70.13,182.848,63.58,30.74
2020-11-07 21:00:00,74.75,199.28500000000003,63.3,30.17
2020-11-07 22:00:00,79.44,185.079,58.25,30.37
2020-11-07 23:00:00,76.18,221.221,62.63,29.34
2020-11-08 00:00:00,84.98,209.709,68.35,28.42
2020-11-08 01:00:00,90.0,168.75399999999996,74.79,27.52
2020-11-08 02:00:00,91.91,148.041,77.92,26.81
2020-11-08 03:00:00,83.18,130.65699999999998,81.89,26.18
2020-11-08 04:00:00,85.84,127.73899999999999,78.84,26.82
2020-11-08 05:00:00,88.0,111.90899999999999,73.86,26.84
2020-11-08 06:00:00,59.358181818181826,103.9209090909091,70.4,26.69
2020-11-08 07:00:00,59.27181818181818,114.92000000000002,63.31,27.61
2020-11-08 08:00:00,59.83636363636364,111.8409090909091,54.68,30.51
2020-11-08 09:00:00,97.0,115.16545454545457,42.99,33.19
2020-11-08 10:00:00,68.07,124.66909090909093,39.84,34.31
2020-11-08 11:00:00,48.77,130.91636363636363,39.14,35.08
2020-11-08 12:00:00,48.76,128.6118181818182,40.54,35.63
2020-11-08 13:00:00,47.93,115.87181818181817,41.21,36.11
2020-11-08 14:00:00,45.62,104.66727272727275,40.51,36.88
2020-11-08 15:00:00,49.82,101.89454545454545,39.13,37.48
2020-11-08 16:00:00,49.93,99.87909090909092,40.33,37.04
2020-11-08 17:00:00,50.38,111.55454545454545,45.5,35.64
2020-11-08 18:00:00,65.47,131.67272727272726,56.67,33.08
2020-11-08 19:00:00,78.2,167.79636363636362,78.02,30.57
2020-11-08 20:00:00,71.36,180.8081818181818,81.3,29.7
2020-11-08 21:00:00,71.82,195.662,80.77,29.4
2020-11-08 22:00:00,79.51,182.02,78.61,29.14
2020-11-08 23:00:00,82.0,182.426,77.14,28.63
