,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_r2,val_r2,test_r2,method
Sion,19.420202950113648,19.758489806144226,19.05729969565224,14.015009393002293,13.847063534469969,14.290666983637024,0.7276421783111401,0.7069859604778603,0.7092435857606575,spatial_average
Powai,16.271432208519958,15.604495553077868,16.876702632823353,11.867609869231744,11.645231369571704,12.216169341022221,0.7385471106557002,0.7665281585890631,0.7343041091157857,spatial_average
Kandivali,21.743393126496844,20.10943506101147,19.31113004321517,15.491522764682653,15.5563286022594,15.072615840824865,0.6655918097139941,0.7220723922747627,0.7327484283529649,spatial_average
Vileparle,20.42757367957382,19.981129620844303,19.751941367127575,15.017092158565873,15.093496284924226,14.563477495688803,0.7243615011787188,0.7069575045918186,0.707265249729828,spatial_average
Kalyan,28.706300736432627,31.4570988699076,28.52674227314824,19.787743147005255,20.649183619249794,19.7642245535846,0.6443734980292357,0.591059715833949,0.6456769759055883,spatial_average
Worli,17.400434699213836,18.70767341940836,16.316788416035273,12.534768434044244,12.032069196365782,12.183151252148807,0.8041504279477072,0.7810664424086076,0.81439588850103,spatial_average
Kurla,33.876412664971895,30.79222570172538,34.915839876772196,21.58822788157885,21.67681735542954,21.014262644989188,0.4977264987399912,0.5209119938837921,0.4807981522179484,spatial_average
Mahape,25.808806677291155,22.958003021326018,23.29424726831851,17.9122000133713,16.941639595408613,17.733673022964453,0.7454520230273738,0.7577508300051848,0.7276587367236442,spatial_average
Mulund,20.66570554972319,21.02884699257772,20.41817930614804,15.912938385200441,16.01215132404337,15.879736390438584,0.6038558114121331,0.6000769231102201,0.6077011560377582,spatial_average
Borivali,24.646620106218432,24.59636807297299,25.507697217494865,17.69871993147743,17.539794740861247,18.261697373099413,0.5568207500220861,0.5731669220515403,0.5434417843300956,spatial_average
Vasai,18.742886506520826,17.451987011437602,19.14555282333035,14.639880665898657,13.498838108026034,14.88068439663018,0.6796840688688499,0.709370557491848,0.6494196776535317,spatial_average
Colaba,19.00814552696251,19.82719960110351,20.479991885244733,14.130293965456044,14.764252032193603,14.19271052269773,0.3787323311970592,0.32550892678082266,0.2450628909042628,spatial_average
Bandra,25.738218263929166,23.12472377971619,31.484266002553067,16.046051543754537,15.391936127333107,15.957579292224278,0.2140722350220583,0.25901401952948333,0.16961793866514485,spatial_average
Airport,9.890779717060642,9.811398049108563,8.805522892605406,6.878589960917323,6.748160683897948,6.236192491396584,0.8457287057085845,0.8330149924293819,0.8646071355419147,spatial_average
