From Date,PM2.5,PM10,RH,AT
2020-11-01 00:00:00,83.69,,,
2020-11-01 01:00:00,83.69,,,
2020-11-01 02:00:00,83.69,,,
2020-11-01 03:00:00,83.69,,70.99,26.27
2020-11-01 04:00:00,83.69,,70.18,26.47
2020-11-01 05:00:00,54.82,,68.13,26.25
2020-11-01 06:00:00,60.98,,66.61,25.98
2020-11-01 07:00:00,86.22,,68.84,26.7
2020-11-01 08:00:00,94.0,,67.35,28.62
2020-11-01 09:00:00,72.48,,56.26,31.6
2020-11-01 10:00:00,66.0,,47.38,34.01
2020-11-01 11:00:00,71.51,,41.3,35.29
2020-11-01 12:00:00,65.05,,46.94,34.86
2020-11-01 13:00:00,58.23,,54.95,33.99
2020-11-01 14:00:00,47.32,,47.63,34.65
2020-11-01 15:00:00,38.86,,47.94,34.71
2020-11-01 16:00:00,36.31,,54.53,34.0
2020-11-01 17:00:00,38.08,,61.64,32.64
2020-11-01 18:00:00,55.53,,74.26,30.87
2020-11-01 19:00:00,71.95,,78.64,30.14
2020-11-01 20:00:00,69.78,,76.27,30.23
2020-11-01 21:00:00,80.73,,74.37,29.9
2020-11-01 22:00:00,90.45,,82.07,28.83
2020-11-01 23:00:00,95.84,,76.49,28.85
2020-11-02 00:00:00,96.72,,75.21,28.05
2020-11-02 01:00:00,79.4,,72.07,27.84
2020-11-02 02:00:00,87.84,,72.88,27.63
2020-11-02 03:00:00,79.78,,73.14,27.43
2020-11-02 04:00:00,83.73,,75.46,27.41
2020-11-02 05:00:00,63.9,,75.25,27.55
2020-11-02 06:00:00,72.09,,76.74,27.7
2020-11-02 07:00:00,70.36,,79.78,27.8
2020-11-02 08:00:00,76.68,,77.07,28.79
2020-11-02 09:00:00,85.86,,69.84,30.95
2020-11-02 10:00:00,80.42,,58.95,33.67
2020-11-02 11:00:00,80.46,,48.07,35.5
2020-11-02 12:00:00,70.24,,42.13,36.13
2020-11-02 13:00:00,61.55,,41.7,36.5
2020-11-02 14:00:00,64.84,,42.63,36.85
2020-11-02 15:00:00,69.75,,48.62,36.11
2020-11-02 16:00:00,71.69,,52.23,35.34
2020-11-02 17:00:00,67.87,,59.23,34.08
2020-11-02 18:00:00,81.84,,66.08,32.4
2020-11-02 19:00:00,89.0,,75.03,31.27
2020-11-02 20:00:00,89.3711111111111,,78.47,30.63
2020-11-02 21:00:00,89.74222222222222,,78.69,30.22
2020-11-02 22:00:00,90.11333333333333,,80.66,29.62
2020-11-02 23:00:00,90.48444444444445,,78.47,29.42
2020-11-03 00:00:00,90.85555555555555,,80.7,28.73
2020-11-03 01:00:00,91.22666666666667,,80.7,28.65
2020-11-03 02:00:00,91.59777777777778,,82.46,28.27
2020-11-03 03:00:00,91.9688888888889,,79.97,28.41
2020-11-03 04:00:00,92.34,,80.15,28.24
2020-11-03 05:00:00,90.31,,79.13,28.24
2020-11-03 06:00:00,92.08,,78.34,28.54
2020-11-03 07:00:00,89.54,,78.2,29.02
2020-11-03 08:00:00,93.66,,72.44,30.0
2020-11-03 09:00:00,89.99333333333333,,66.05,31.57
2020-11-03 10:00:00,86.32666666666667,,47.78,34.49
2020-11-03 11:00:00,82.66,,39.16,35.96
2020-11-03 12:00:00,66.93,,37.14,36.4
