From Date,PM2.5,PM10,RH,AT
2020-11-01 00:00:00,66.0,121.46,65.54,25.65
2020-11-01 01:00:00,58.886302499849585,135.3,66.5,24.71
2020-11-01 02:00:00,79.57,114.68,69.84,23.98
2020-11-01 03:00:00,74.31,109.28,68.28,23.76
2020-11-01 04:00:00,67.09,99.56,71.7,23.34
2020-11-01 05:00:00,67.67,107.47,71.88,23.43
2020-11-01 06:00:00,64.34,115.0,76.11,23.15
2020-11-01 07:00:00,71.19,107.28,73.25,24.39
2020-11-01 08:00:00,103.75,160.93,65.11,27.73
2020-11-01 09:00:00,90.61,156.22,49.95,30.74
2020-11-01 10:00:00,94.85,154.86,41.49,31.91
2020-11-01 11:00:00,71.14,145.56,46.4,31.64
2020-11-01 12:00:00,62.43,116.53,51.77,31.48
2020-11-01 13:00:00,64.85,111.14,50.44,31.31
2020-11-01 14:00:00,42.0,78.28,54.16,31.08
2020-11-01 15:00:00,42.0,76.44,54.73,30.97
2020-11-01 16:00:00,41.48,72.66,55.4,30.43
2020-11-01 17:00:00,36.92,71.0,57.88,29.59
2020-11-01 18:00:00,47.77,80.44,64.66,28.59
2020-11-01 19:00:00,55.31,84.58,67.24,28.2
2020-11-01 20:00:00,47.83,71.22,71.78,27.88
2020-11-01 21:00:00,46.17,84.45,72.17,27.57
2020-11-01 22:00:00,47.66,76.7,73.38,27.27
2020-11-01 23:00:00,45.08,79.29,74.82,26.64
2020-11-02 00:00:00,57.0,96.25,73.19,25.99
2020-11-02 01:00:00,52.34032019954138,111.88,75.17,25.28
2020-11-02 02:00:00,83.36,120.78,75.37,25.04
2020-11-02 03:00:00,84.93,122.86,70.56,25.27
2020-11-02 04:00:00,64.08,98.11,75.17,25.17
2020-11-02 05:00:00,76.17,108.59,77.53,25.02
2020-11-02 06:00:00,78.83,118.72,81.5,24.87
2020-11-02 07:00:00,89.38,132.02,79.19,25.28
2020-11-02 08:00:00,105.17,149.17,76.26,26.98
2020-11-02 09:00:00,118.09,171.31,65.77,29.92
2020-11-02 10:00:00,116.33,179.99,55.59,31.62
2020-11-02 11:00:00,86.08,135.51,44.15,33.1
2020-11-02 12:00:00,76.6,122.85,45.2,33.74
2020-11-02 13:00:00,84.2,143.39,60.42,32.73
2020-11-02 14:00:00,95.83,149.57,63.62,32.03
2020-11-02 15:00:00,83.09,128.54,65.83,31.29
2020-11-02 16:00:00,83.22,131.0,73.85,30.24
2020-11-02 17:00:00,75.17,120.7,76.65,29.59
2020-11-02 18:00:00,77.09,121.58,83.54,28.77
2020-11-02 19:00:00,78.08,130.56,83.91,28.57
2020-11-02 20:00:00,80.47,121.73,85.99,28.29
2020-11-02 21:00:00,96.52,120.86,86.67,28.09
2020-11-02 22:00:00,100.53,117.57,85.57,27.81
2020-11-02 23:00:00,86.03,119.57,85.67,27.21
2020-11-03 00:00:00,97.0,141.39,75.71,26.91
2020-11-03 01:00:00,80.14141279639479,165.06,77.09,26.61
2020-11-03 02:00:00,136.42,195.32,70.66,26.8
2020-11-03 03:00:00,109.0,149.06,74.78,25.89
2020-11-03 04:00:00,108.67,142.71,79.1,24.99
2020-11-03 05:00:00,106.2,144.71,83.11,24.59
2020-11-03 06:00:00,119.09,164.68,84.19,24.38
2020-11-03 07:00:00,120.95,169.71,83.77,25.07
2020-11-03 08:00:00,130.92,197.38,72.75,28.27
2020-11-03 09:00:00,128.92,198.57,57.29,31.02
2020-11-03 10:00:00,114.93,172.25,44.41,32.6
2020-11-03 11:00:00,91.62,138.06,39.93,33.45
2020-11-03 12:00:00,80.1,142.0,56.76,32.11
2020-11-03 13:00:00,112.91,176.33,56.3,32.21
2020-11-03 14:00:00,109.59,167.45,54.86,31.75
2020-11-03 15:00:00,82.92,135.91,58.67,31.39
2020-11-03 16:00:00,70.66,119.88,63.57,30.56
2020-11-03 17:00:00,67.17,115.43,68.04,29.7
2020-11-03 18:00:00,70.81,120.13,73.23,28.9
2020-11-03 19:00:00,89.57,124.43,80.33,28.4
2020-11-03 20:00:00,85.34,125.0,77.33,28.2
