locality,total_rows,pm25_mean,pm25_median,pm25_std,pm25_min,pm25_max
Airport,5305,45.10013559989561,41.88,24.86561859789522,1.0,153.7259429990636
Bandra,5441,34.54110075694292,27.16,29.786942487045394,0.02,700.86
Borivali,5425,52.771722580645154,46.0,38.44959205287006,1.0,296.55
Colaba,4801,49.83368569048114,40.74153846153846,25.142795992879662,0.3,166.0
Kalyan,5442,77.53198915839766,67.03999999999999,49.045127329160195,0.53,520.0
Kandivali,4801,66.33743595084358,61.03,38.0100130917606,4.0,237.93
Kurla,5425,65.64396833063235,58.32,47.49398352550511,1.0,985.0
Mahape,5320,74.35952839735276,67.08500000000001,50.15224053838052,0.73,674.32
Mulund,5425,55.711741941361495,53.15,33.244868376423625,0.64,208.0793006781209
Nerul,5305,73.13895004712535,66.4,44.459754834066175,0.73,288.36
Powai,5425,55.034846249381125,50.88,31.985566523871583,4.16,201.26
Sion,5305,54.20322195287786,49.98,36.66543199641636,2.0,329.44
Vasai,5425,52.38524976958525,52.11,29.4158668824235,0.69,100.0
Vileparle,5305,63.3205167963256,56.8,38.17278481146379,5.09,262.74
Worli,5425,60.65024689092242,54.72,38.917115930061314,0.89,397.84
